country,quarter,gdp
Belgium,2017-Q1,106376.5
Belgium,2017-Q2,112276.8
Belgium,2017-Q3,106221.4
Belgium,2017-Q4,118532.6
Belgium,2018-Q1,109195.4
Belgium,2018-Q2,115998.8
Belgium,2018-Q3,110130.5
Belgium,2018-Q4,124167.1
Belgium,2019-Q1,113823.3
Belgium,2019-Q2,120465.5
Belgium,2019-Q3,115684.6
Belgium,2019-Q4,129471.5
Belgium,2020-Q1,115916.2
Belgium,2020-Q2,107165.4
Belgium,2020-Q3,113879.3
Belgium,2020-Q4,126790
Belgium,2021-Q1,118638.3
Belgium,2021-Q2,125972
Belgium,2021-Q3,122215.1
Belgium,2021-Q4,139221.8
Belgium,2022-Q1,131168.5
Belgium,2022-Q2,140448.4
Belgium,2022-Q3,136150
Belgium,2022-Q4,153542.2
Belgium,2023-Q1,145554.9
Belgium,2023-Q2,151800.8
Belgium,2023-Q3,144751.2
Belgium,2023-Q4,160269.4
Belgium,2024-Q1,149370.1
Belgium,2024-Q2,156150.2
Belgium,2024-Q3,149295.8
Belgium,2024-Q4,165455.6
Belgium,2025-Q1,154893.9
Belgium,2025-Q2,161797
Belgium,2025-Q3,154098.6
Belgium,2025-Q4,158200
Bulgaria,2017-Q1,10724.6
Bulgaria,2017-Q2,12741.7
Bulgaria,2017-Q3,14301.8
Bulgaria,2017-Q4,14732.9
Bulgaria,2018-Q1,11289.1
Bulgaria,2018-Q2,13777.3
Bulgaria,2018-Q3,15499.5
Bulgaria,2018-Q4,15433.9
Bulgaria,2019-Q1,12881.2
Bulgaria,2019-Q2,15153.5
Bulgaria,2019-Q3,16279
Bulgaria,2019-Q4,16880.7
Bulgaria,2020-Q1,13239.7
Bulgaria,2020-Q2,14397.5
Bulgaria,2020-Q3,16828.7
Bulgaria,2020-Q4,17389.7
Bulgaria,2021-Q1,14581.6
Bulgaria,2021-Q2,16579.6
Bulgaria,2021-Q3,19605.9
Bulgaria,2021-Q4,20576.9
Bulgaria,2022-Q1,17298.1
Bulgaria,2022-Q2,20057.6
Bulgaria,2022-Q3,23419.6
Bulgaria,2022-Q4,25302.9
Bulgaria,2023-Q1,20373.6
Bulgaria,2023-Q2,22163.8
Bulgaria,2023-Q3,24833.8
Bulgaria,2023-Q4,27154
Bulgaria,2024-Q1,22260.5
Bulgaria,2024-Q2,25135.8
Bulgaria,2024-Q3,27857.3
Bulgaria,2024-Q4,29513.7
Bulgaria,2025-Q1,23290.6
Bulgaria,2025-Q2,27236.5
Bulgaria,2025-Q3,32037.2
Bulgaria,2025-Q4,33000
Czechia,2017-Q1,43771.1
Czechia,2017-Q2,49085.5
Czechia,2017-Q3,50753.8
Czechia,2017-Q4,53419.4
Czechia,2018-Q1,49686
Czechia,2018-Q2,53689.1
Czechia,2018-Q3,54120.1
Czechia,2018-Q4,55961.9
Czechia,2019-Q1,52683.1
Czechia,2019-Q2,57407.3
Czechia,2019-Q3,58676
Czechia,2019-Q4,60651.3
Czechia,2020-Q1,54112.7
Czechia,2020-Q2,50948.8
Czechia,2020-Q3,56674.1
Czechia,2020-Q4,58578.4
Czechia,2021-Q1,54372.7
Czechia,2021-Q2,61744.8
Czechia,2021-Q3,63754.3
Czechia,2021-Q4,66269.1
Czechia,2022-Q1,64837.1
Czechia,2022-Q2,71591.1
Czechia,2022-Q3,73813.8
Czechia,2022-Q4,76792.1
Czechia,2023-Q1,74932.6
Czechia,2023-Q2,82338.9
Czechia,2023-Q3,80275.1
Czechia,2023-Q4,81523.1
Czechia,2024-Q1,74165.2
Czechia,2024-Q2,81421.9
Czechia,2024-Q3,81752.1
Czechia,2024-Q4,83444.7
Czechia,2025-Q1,78181
Czechia,2025-Q2,86272.8
Czechia,2025-Q3,89438.2
Czechia,2025-Q4,90000
Estonia,2017-Q1,5557.9
Estonia,2017-Q2,6170.7
Estonia,2017-Q3,6103.1
Estonia,2017-Q4,6484.4
Estonia,2018-Q1,6023.8
Estonia,2018-Q2,6625.3
Estonia,2018-Q3,6676.8
Estonia,2018-Q4,7112.6
Estonia,2019-Q1,6571.5
Estonia,2019-Q2,7158.4
Estonia,2019-Q3,7204
Estonia,2019-Q4,7538.2
Estonia,2020-Q1,6617.3
Estonia,2020-Q2,6598.4
Estonia,2020-Q3,7125.7
Estonia,2020-Q4,7517.9
Estonia,2021-Q1,7003.4
Estonia,2021-Q2,7661.6
Estonia,2021-Q3,8071
Estonia,2021-Q4,8717.3
Estonia,2022-Q1,8154.4
Estonia,2022-Q2,8905.4
Estonia,2022-Q3,9439.1
Estonia,2022-Q4,9802.1
