country,year,repowereu
Belgium,2022,12.8
Belgium,2023,15.3
Belgium,2024,18.7
Belgium,2025,21.2
Bulgaria,2022,8.5
Bulgaria,2023,9.7
Bulgaria,2024,11.2
Bulgaria,2025,13.5
Czechia,2022,10.2
Czechia,2023,13.6
Czechia,2024,16.4
Czechia,2025,19.8
Estonia,2022,4.3
Estonia,2023,5.8
Estonia,2024,7.2
Estonia,2025,8.9
Finland,2022,17.4
Finland,2023,21.8
Finland,2024,26.3
Finland,2025,31.7
France,2022,72.5
France,2023,81.6
France,2024,89.4
France,2025,98.9
Germany,2022,89.6
Germany,2023,97.4
Germany,2024,105.8
Germany,2025,118.2
Greece,2022,15.4
Greece,2023,18.9
Greece,2024,22.6
Greece,2025,27.3
Hungary,2022,9.3
Hungary,2023,11.5
Hungary,2024,13.8
Hungary,2025,16.2
Ireland,2022,18.7
Ireland,2023,23.5
Ireland,2024,29.3
Ireland,2025,35.6
Italy,2022,58.9
Italy,2023,66.3
Italy,2024,74.8
Italy,2025,85.2
Latvia,2022,5.1
Latvia,2023,6.4
Latvia,2024,7.9
Latvia,2025,9.5
Lithuania,2022,6.8
Lithuania,2023,8.2
Lithuania,2024,9.7
Lithuania,2025,11.4
Poland,2022,42.7
Poland,2023,49.6
Poland,2024,56.8
Poland,2025,65.3
Portugal,2022,23.6
Portugal,2023,28.9
Portugal,2024,34.5
Portugal,2025,40.2
Spain,2022,67.3
Spain,2023,75.8
Spain,2024,83.5
Spain,2025,92.7
Denmark,2022,78.2
Denmark,2023,85.9
Denmark,2024,92.6
Denmark,2025,98.8
Romania,2022,78.5
Romania,2023,89.2
Romania,2024,99.8
Romania,2025,110.5
