country,year,value
Belgium,2017,10.2
Belgium,2018,11.8
Belgium,2019,13.5
Belgium,2020,15.3
Belgium,2021,17.6
Belgium,2022,20.1
Belgium,2023,23.4
Belgium,2024,26.8
Belgium,2025,30.5
Bulgaria,2017,5.8
Bulgaria,2018,6.9
Bulgaria,2019,8.2
Bulgaria,2020,9.7
Bulgaria,2021,11.5
Bulgaria,2022,14.2
Bulgaria,2023,17.6
Bulgaria,2024,21.3
Bulgaria,2025,25.8
Czechia,2017,8.3
Czechia,2018,9.5
Czechia,2019,10.9
Czechia,2020,12.4
Czechia,2021,14.1
Czechia,2022,16.8
Czechia,2023,19.7
Czechia,2024,23.1
Czechia,2025,27.4
Estonia,2017,3.7
Estonia,2018,4.3
Estonia,2019,5.1
Estonia,2020,6
Estonia,2021,7.2
Estonia,2022,8.7
Estonia,2023,10.5
Estonia,2024,12.8
Estonia,2025,15.4
Finland,2017,12.3
Finland,2018,14.1
Finland,2019,16.2
Finland,2020,18.7
Finland,2021,21.6
Finland,2022,25.1
Finland,2023,29.4
Finland,2024,34.7
Finland,2025,40.9
France,2017,41.2
France,2018,46.8
France,2019,53.5
France,2020,61.3
France,2021,70.5
France,2022,81.8
France,2023,95.4
France,2024,111.7
France,2025,130.2
Germany,2017,86.5
Germany,2018,97.3
Germany,2019,109.8
Germany,2020,122.6
Germany,2021,138.4
Germany,2022,156.7
Germany,2023,182.3
Germany,2024,207.1
Germany,2025,230
Greece,2017,7.5
Greece,2018,8.9
Greece,2019,10.6
Greece,2020,12.8
Greece,2021,15.5
Greece,2022,19.2
Greece,2023,24.1
Greece,2024,29.7
Greece,2025,36.5
Hungary,2017,3.9
Hungary,2018,5.4
Hungary,2019,7.2
Hungary,2020,9.5
Hungary,2021,12.8
Hungary,2022,17.3
Hungary,2023,22.9
Hungary,2024,29.7
Hungary,2025,37.5
Ireland,2017,6.9
Ireland,2018,8.4
Ireland,2019,10.1
Ireland,2020,12.3
Ireland,2021,15
Ireland,2022,18.5
Ireland,2023,22.8
Ireland,2024,27.5
Ireland,2025,33.2
Italy,2017,48.6
Italy,2018,55.3
Italy,2019,63.7
Italy,2020,73.9
Italy,2021,85.8
Italy,2022,99.5
Italy,2023,115.7
Italy,2024,134.2
Italy,2025,156.8
Latvia,2017,4.2
Latvia,2018,4.9
Latvia,2019,5.8
Latvia,2020,6.9
Latvia,2021,8.3
Latvia,2022,10.1
Latvia,2023,12.4
Latvia,2024,15.2
Latvia,2025,18.7
Lithuania,2017,3.5
Lithuania,2018,4.2
Lithuania,2019,5.1
Lithuania,2020,6.3
Lithuania,2021,7.8
Lithuania,2022,9.7
Lithuania,2023,12.1
Lithuania,2024,15
Lithuania,2025,18.6
Poland,2017,14.7
Poland,2018,17.9
Poland,2019,22.3
Poland,2020,27.8
Poland,2021,34.5
Poland,2022,42.6
Poland,2023,52.1
Poland,2024,63.8
Poland,2025,77.5
Portugal,2017,12.8
Portugal,2018,14.9
Portugal,2019,17.5
Portugal,2020,20.7
Portugal,2021,24.5
Portugal,2022,29.1
Portugal,2023,34.8
Portugal,2024,41.9
Portugal,2025,50.6
Spain,2017,43.8
Spain,2018,49.6
Spain,2019,56.9
Spain,2020,65.7
Spain,2021,76.2
Spain,2022,88.5
Spain,2023,103.2
Spain,2024,120.8
Spain,2025,141.5
Denmark,2017,6
Denmark,2018,6
Denmark,2019,7
Denmark,2020,8
Denmark,2021,9
Denmark,2022,11
Denmark,2023,12
Denmark,2024,13
Denmark,2025,14
Romania,2017,5
Romania,2018,5
Romania,2019,6
Romania,2020,7
Romania,2021,8
Romania,2022,11
Romania,2023,14
Romania,2024,17
Romania,2025,22
