country,year,percentage
Belgium,2015,33.39
Belgium,2016,35.08
Belgium,2017,41.46
Belgium,2018,34.79
Belgium,2019,28.6
Belgium,2020,28.11
Bulgaria,2015,71.67
Bulgaria,2016,67.59
Bulgaria,2017,54.1
Bulgaria,2018,57.38
Bulgaria,2019,58.12
Bulgaria,2020,12.68
Czechia,2015,53.51
Czechia,2016,57.46
Czechia,2017,50.55
Czechia,2018,50.03
Czechia,2019,45.67
Czechia,2020,46.94
Estonia,2015,72.4
Estonia,2016,75.29
Estonia,2017,70.46
Estonia,2018,65.96
Estonia,2019,72.08
Estonia,2020,69.19
Finland,2015,76.19
Finland,2016,78.93
Finland,2017,76.77
Finland,2018,74.84
Finland,2019,78.88
Finland,2020,69.62
France,2015,15.26
France,2016,17.01
France,2017,18.92
France,2018,17.58
France,2019,16.16
France,2020,17.56
Germany,2015,35.39
Germany,2016,39.4
Germany,2017,38.25
Germany,2018,37.05
Germany,2019,32.13
Germany,2020,33.59
Greece,2015,27.98
Greece,2016,22.71
Greece,2017,21.14
Greece,2018,23.79
Greece,2019,22.08
Greece,2020,27.39
Hungary,2015,65.03
Hungary,2016,60.57
Hungary,2017,50.01
Hungary,2018,52.07
Hungary,2019,56.26
Hungary,2020,50.51
Ireland,2015,6.49
Ireland,2016,9.24
Ireland,2017,11.78
Ireland,2018,14.6
Ireland,2019,11.34
Ireland,2020,7.2
Italy,2015,15.71
Italy,2016,14.28
Italy,2017,11.54
Italy,2018,11.39
Italy,2019,15.02
Italy,2020,12.36
Latvia,2015,63.68
Latvia,2016,69.49
Latvia,2017,62.12
Latvia,2018,52.96
Latvia,2019,64.7
Latvia,2020,68.17
Lithuania,2015,72.33
Lithuania,2016,78.34
Lithuania,2017,64.73
Lithuania,2018,67.61
Lithuania,2019,77.47
Lithuania,2020,71.93
Poland,2015,78.88
Poland,2016,75.64
Poland,2017,72.03
Poland,2018,71.85
Poland,2019,66.47
Poland,2020,69.47
Portugal,2015,10.21
Portugal,2016,19.61
Portugal,2017,23.9
Portugal,2018,20.32
Portugal,2019,13.21
Portugal,2020,5.49
Spain,2015,9.2
Spain,2016,10.37
Spain,2017,8.11
Spain,2018,5.22
Spain,2019,7.03
Spain,2020,7.31
Denmark,2015,26.04
Denmark,2016,29.13
Denmark,2017,25.2
Denmark,2018,16.88
Denmark,2019,12.12
Denmark,2020,16.61
Romania,2015,34.73
Romania,2016,34.91
Romania,2017,34.55
Romania,2018,34.16
Romania,2019,33.69
Romania,2020,29.13
