country,month,nuclear_share
Belgium,2017/1/1,47.828
Belgium,2017/2/1,49.397
Belgium,2017/3/1,49.55
Belgium,2017/4/1,38.468
Belgium,2017/5/1,46.405
Belgium,2017/6/1,54.968
Belgium,2017/7/1,58.143
Belgium,2017/8/1,59.953
Belgium,2017/9/1,56.019
Belgium,2017/10/1,43.712
Belgium,2017/11/1,43.318
Belgium,2017/12/1,48.008
Belgium,2018/1/1,52.242
Belgium,2018/2/1,47.866
Belgium,2018/3/1,50.836
Belgium,2018/4/1,49.368
Belgium,2018/5/1,45.969
Belgium,2018/6/1,39.957
Belgium,2018/7/1,39.409
Belgium,2018/8/1,35.635
Belgium,2018/9/1,30.27
Belgium,2018/10/1,18.538
Belgium,2018/11/1,19.251
Belgium,2018/12/1,28.719
Belgium,2019/1/1,39.376
Belgium,2019/2/1,43.661
Belgium,2019/3/1,49.434
Belgium,2019/4/1,52.438
Belgium,2019/5/1,54.764
Belgium,2019/6/1,45.406
Belgium,2019/7/1,50.739
Belgium,2019/8/1,53.452
Belgium,2019/9/1,51.548
Belgium,2019/10/1,40.924
Belgium,2019/11/1,41.913
Belgium,2019/12/1,47.49
Belgium,2020/1/1,39.518
Belgium,2020/2/1,38.879
Belgium,2020/3/1,40.298
Belgium,2020/4/1,46.576
Belgium,2020/5/1,43.546
Belgium,2020/6/1,33.683
Belgium,2020/7/1,30.85
Belgium,2020/8/1,31.679
Belgium,2020/9/1,38.927
Belgium,2020/10/1,37.032
Belgium,2020/11/1,41.579
Belgium,2020/12/1,41.006
Belgium,2021/1/1,45.892
Belgium,2021/2/1,49.523
Belgium,2021/3/1,48.79
Belgium,2021/4/1,45.737
Belgium,2021/5/1,50.554
Belgium,2021/6/1,54.279
Belgium,2021/7/1,55.544
Belgium,2021/8/1,55.144
Belgium,2021/9/1,55.072
Belgium,2021/10/1,53.215
Belgium,2021/11/1,45.317
Belgium,2021/12/1,50.016
Belgium,2022/1/1,50.455
Belgium,2022/2/1,47.42
Belgium,2022/3/1,48.416
Belgium,2022/4/1,49.514
Belgium,2022/5/1,50.465
Belgium,2022/6/1,44.894
Belgium,2022/7/1,40.201
Belgium,2022/8/1,43.129
Belgium,2022/9/1,47.558
Belgium,2022/10/1,42.794
Belgium,2022/11/1,47.219
Belgium,2022/12/1,44.129
Belgium,2023/1/1,44.566
Belgium,2023/2/1,38.61
Belgium,2023/3/1,38.154
Belgium,2023/4/1,38.913
Belgium,2023/5/1,38.066
Belgium,2023/6/1,37.1
Belgium,2023/7/1,41.92
Belgium,2023/8/1,41.591
Belgium,2023/9/1,39.07
Belgium,2023/10/1,40.937
Belgium,2023/11/1,44.091
Belgium,2023/12/1,43.464
Belgium,2024/1/1,42.129
Belgium,2024/2/1,43.683
Belgium,2024/3/1,40.735
Belgium,2024/4/1,37.46
Belgium,2024/5/1,47.413
Belgium,2024/6/1,44.936
Belgium,2024/7/1,48.597
Belgium,2024/8/1,46.265
Belgium,2024/9/1,41.303
Belgium,2024/10/1,43.233
Belgium,2024/11/1,37.295
Belgium,2024/12/1,42.08
Belgium,2025/1/1,44.661
Belgium,2025/2/1,39.907
Belgium,2025/3/1,40.444
Belgium,2025/4/1,30.248
Belgium,2025/5/1,33.454
Belgium,2025/6/1,31.457
Belgium,2025/7/1,30.648
Belgium,2025/8/1,33.598
Belgium,2025/9/1,32.015
Belgium,2025/10/1,29.955
Belgium,2025/11/1,32.664
Bulgaria,2017/1/1,33.977
Bulgaria,2017/2/1,36.711
Bulgaria,2017/3/1,40.47
Bulgaria,2017/4/1,37.197
Bulgaria,2017/5/1,24.777
Bulgaria,2017/6/1,38.215
Bulgaria,2017/7/1,40.648
Bulgaria,2017/8/1,40.711
Bulgaria,2017/9/1,32.381
Bulgaria,2017/10/1,27.188
Bulgaria,2017/11/1,38.536
Bulgaria,2017/12/1,39.909
Bulgaria,2018/1/1,39.901
Bulgaria,2018/2/1,38.27
Bulgaria,2018/3/1,40.022
Bulgaria,2018/4/1,40.089
Bulgaria,2018/5/1,27.274
Bulgaria,2018/6/1,43.105
Bulgaria,2018/7/1,41.861
Bulgaria,2018/8/1,39.875
Bulgaria,2018/9/1,30.597
Bulgaria,2018/10/1,27.535
Bulgaria,2018/11/1,35.519
Bulgaria,2018/12/1,34.413
Bulgaria,2019/1/1,35.142
Bulgaria,2019/2/1,35.74
Bulgaria,2019/3/1,41.28
Bulgaria,2019/4/1,43.191
Bulgaria,2019/5/1,27.335
Bulgaria,2019/6/1,43.178
Bulgaria,2019/7/1,44.251
Bulgaria,2019/8/1,43.811
Bulgaria,2019/9/1,39.878
Bulgaria,2019/10/1,30.075
Bulgaria,2019/11/1,41.576
Bulgaria,2019/12/1,41.3
Bulgaria,2020/1/1,42.712
Bulgaria,2020/2/1,41.674
Bulgaria,2020/3/1,42.363
Bulgaria,2020/4/1,33.688
Bulgaria,2020/5/1,35.385
Bulgaria,2020/6/1,49.983
Bulgaria,2020/7/1,48.65
Bulgaria,2020/8/1,48.903
Bulgaria,2020/9/1,42.468
Bulgaria,2020/10/1,34.02
Bulgaria,2020/11/1,43.606
Bulgaria,2020/12/1,42.007
Bulgaria,2021/1/1,38.304
Bulgaria,2021/2/1,39.263
Bulgaria,2021/3/1,38.547
Bulgaria,2021/4/1,30.877
Bulgaria,2021/5/1,25.646
Bulgaria,2021/6/1,47.118
Bulgaria,2021/7/1,41.571
Bulgaria,2021/8/1,40.977
Bulgaria,2021/9/1,37.44
Bulgaria,2021/10/1,21.4
Bulgaria,2021/11/1,36.631
Bulgaria,2021/12/1,33.671
Bulgaria,2022/1/1,32.703
Bulgaria,2022/2/1,34.116
Bulgaria,2022/3/1,32.788
Bulgaria,2022/4/1,33.962
Bulgaria,2022/5/1,25.003
Bulgaria,2022/6/1,38.651
Bulgaria,2022/7/1,38.791
Bulgaria,2022/8/1,39.212
Bulgaria,2022/9/1,36.064
Bulgaria,2022/10/1,26.262
Bulgaria,2022/11/1,35.418
Bulgaria,2022/12/1,33.84
Bulgaria,2023/1/1,38.204
Bulgaria,2023/2/1,37.146
Bulgaria,2023/3/1,45.436
Bulgaria,2023/4/1,41.7
Bulgaria,2023/5/1,31.622
Bulgaria,2023/6/1,47.327
Bulgaria,2023/7/1,46.804
Bulgaria,2023/8/1,46.902
Bulgaria,2023/9/1,46.682
Bulgaria,2023/10/1,36.311
Bulgaria,2023/11/1,37.974
Bulgaria,2023/12/1,43.75
Bulgaria,2024/1/1,44.243
Bulgaria,2024/2/1,47.759
Bulgaria,2024/3/1,49.051
Bulgaria,2024/4/1,47.277
Bulgaria,2024/5/1,33.205
Bulgaria,2024/6/1,33.337
Bulgaria,2024/7/1,38.113
Bulgaria,2024/8/1,45.3
Bulgaria,2024/9/1,47.48
Bulgaria,2024/10/1,43.354
Bulgaria,2024/11/1,32.151
Bulgaria,2024/12/1,42.45
Bulgaria,2025/1/1,38.534
Bulgaria,2025/2/1,34.68
Bulgaria,2025/3/1,45.948
Bulgaria,2025/4/1,46.335
Bulgaria,2025/5/1,32.967
Bulgaria,2025/6/1,38.555
Bulgaria,2025/7/1,35.326
Bulgaria,2025/8/1,44.485
Bulgaria,2025/9/1,50.802
Bulgaria,2025/10/1,44.418
