country,year,wind_speed
Belgium,2017,3.8
Belgium,2018,3.7
Belgium,2019,3.9
Belgium,2020,3.8
Belgium,2021,3.7
Belgium,2022,3.9
Belgium,2023,3.8
Belgium,2024,3.7
Belgium,2025,3.8
Bulgaria,2017,2.9
Bulgaria,2018,2.8
Bulgaria,2019,3
Bulgaria,2020,2.9
Bulgaria,2021,2.8
Bulgaria,2022,3
Bulgaria,2023,2.9
Bulgaria,2024,2.8
Bulgaria,2025,2.9
Czechia,2017,2.6
Czechia,2018,2.5
Czechia,2019,2.7
Czechia,2020,2.6
Czechia,2021,2.5
Czechia,2022,2.7
Czechia,2023,2.6
Czechia,2024,2.5
Czechia,2025,2.6
Estonia,2017,4.2
Estonia,2018,4.1
Estonia,2019,4.3
Estonia,2020,4.2
Estonia,2021,4.1
Estonia,2022,4.3
Estonia,2023,4.2
Estonia,2024,4.1
Estonia,2025,4.2
Finland,2017,4.3
Finland,2018,4.2
Finland,2019,4.4
Finland,2020,4.3
Finland,2021,4.2
Finland,2022,4.4
Finland,2023,4.3
Finland,2024,4.2
Finland,2025,4.3
France,2017,3.3
France,2018,3.2
France,2019,3.4
France,2020,3.3
France,2021,3.2
France,2022,3.4
France,2023,3.3
France,2024,3.2
France,2025,3.3
Germany,2017,3.5
Germany,2018,3.4
Germany,2019,3.6
Germany,2020,3.5
Germany,2021,3.4
Germany,2022,3.6
Germany,2023,3.5
Germany,2024,3.4
Germany,2025,3.5
Greece,2017,3.2
Greece,2018,3.1
Greece,2019,3.3
Greece,2020,3.2
Greece,2021,3.1
Greece,2022,3.3
Greece,2023,3.2
Greece,2024,3.1
Greece,2025,3.2
Hungary,2017,2.7
Hungary,2018,2.6
Hungary,2019,2.8
Hungary,2020,2.7
Hungary,2021,2.6
Hungary,2022,2.8
Hungary,2023,2.7
Hungary,2024,2.6
Hungary,2025,2.7
Ireland,2017,4.8
Ireland,2018,4.7
Ireland,2019,4.9
Ireland,2020,4.8
Ireland,2021,4.7
Ireland,2022,4.9
Ireland,2023,4.8
Ireland,2024,4.7
Ireland,2025,4.8
Italy,2017,3
Italy,2018,2.9
Italy,2019,3.1
Italy,2020,3
Italy,2021,2.9
Italy,2022,3.1
Italy,2023,3
Italy,2024,2.9
Italy,2025,3
Latvia,2017,4
Latvia,2018,3.9
Latvia,2019,4.1
Latvia,2020,4
Latvia,2021,3.9
Latvia,2022,4.1
Latvia,2023,4
Latvia,2024,3.9
Latvia,2025,4
Lithuania,2017,3.9
Lithuania,2018,3.8
Lithuania,2019,4
Lithuania,2020,3.9
Lithuania,2021,3.8
Lithuania,2022,4
Lithuania,2023,3.9
Lithuania,2024,3.8
Lithuania,2025,3.9
Poland,2017,3.1
Poland,2018,3
Poland,2019,3.2
Poland,2020,3.1
Poland,2021,3
Poland,2022,3.2
Poland,2023,3.1
Poland,2024,3
Poland,2025,3.1
Portugal,2017,4.5
Portugal,2018,4.4
Portugal,2019,4.6
Portugal,2020,4.5
Portugal,2021,4.4
Portugal,2022,4.6
Portugal,2023,4.5
Portugal,2024,4.4
Portugal,2025,4.5
Spain,2017,3.7
Spain,2018,3.6
Spain,2019,3.8
Spain,2020,3.7
Spain,2021,3.6
Spain,2022,3.8
Spain,2023,3.7
Spain,2024,3.6
Spain,2025,3.7
Denmark,2017,5.7
Denmark,2018,5.8
Denmark,2019,5.7
Denmark,2020,5.9
Denmark,2021,5.8
Denmark,2022,5.9
Denmark,2023,5.8
Denmark,2024,5.9
Denmark,2025,5.9
Romania,2017,4
Romania,2018,4.1
Romania,2019,4
Romania,2020,4.2
Romania,2021,4.1
Romania,2022,4.2
Romania,2023,4.3
Romania,2024,4.2
Romania,2025,4.3
