country,month,clean_share
Belgium,2017/1/1,13.105
Belgium,2017/2/1,16.458
Belgium,2017/3/1,19.698
Belgium,2017/4/1,20.033
Belgium,2017/5/1,20.948
Belgium,2017/6/1,19.86
Belgium,2017/7/1,17.157
Belgium,2017/8/1,15.79
Belgium,2017/9/1,16.746
Belgium,2017/10/1,20.599
Belgium,2017/11/1,17.481
Belgium,2017/12/1,18.516
Belgium,2018/1/1,20.776
Belgium,2018/2/1,19.224
Belgium,2018/3/1,19.086
Belgium,2018/4/1,22.967
Belgium,2018/5/1,23.6
Belgium,2018/6/1,25.209
Belgium,2018/7/1,23.198
Belgium,2018/8/1,23.719
Belgium,2018/9/1,25.581
Belgium,2018/10/1,23.317
Belgium,2018/11/1,23.089
Belgium,2018/12/1,26.017
Belgium,2019/1/1,18.903
Belgium,2019/2/1,20.178
Belgium,2019/3/1,23.889
Belgium,2019/4/1,18.99
Belgium,2019/5/1,18.27
Belgium,2019/6/1,22.796
Belgium,2019/7/1,18.281
Belgium,2019/8/1,19.104
Belgium,2019/9/1,19.095
Belgium,2019/10/1,20.137
Belgium,2019/11/1,18.737
Belgium,2019/12/1,22.779
Belgium,2020/1/1,23.525
Belgium,2020/2/1,29.573
Belgium,2020/3/1,29.334
Belgium,2020/4/1,27.605
Belgium,2020/5/1,28.08
Belgium,2020/6/1,26.304
Belgium,2020/7/1,23.996
Belgium,2020/8/1,25.203
Belgium,2020/9/1,23.723
Belgium,2020/10/1,28.748
Belgium,2020/11/1,23.671
Belgium,2020/12/1,23.883
Belgium,2021/1/1,20.522
Belgium,2021/2/1,23.393
Belgium,2021/3/1,22.67
Belgium,2021/4/1,23.043
Belgium,2021/5/1,26.307
Belgium,2021/6/1,20.62
Belgium,2021/7/1,24.012
Belgium,2021/8/1,24.921
Belgium,2021/9/1,22.782
Belgium,2021/10/1,27.3
Belgium,2021/11/1,18.748
Belgium,2021/12/1,21.301
Belgium,2022/1/1,18.537
Belgium,2022/2/1,31.248
Belgium,2022/3/1,24.03
Belgium,2022/4/1,28.964
Belgium,2022/5/1,25.856
Belgium,2022/6/1,27.218
Belgium,2022/7/1,26.818
Belgium,2022/8/1,22.635
Belgium,2022/9/1,21.803
Belgium,2022/10/1,25.196
Belgium,2022/11/1,28.056
Belgium,2022/12/1,21.953
Belgium,2023/1/1,27.973
Belgium,2023/2/1,25.133
Belgium,2023/3/1,31.66
Belgium,2023/4/1,33.191
Belgium,2023/5/1,36.242
Belgium,2023/6/1,33.886
Belgium,2023/7/1,35.215
Belgium,2023/8/1,30.966
Belgium,2023/9/1,32.353
Belgium,2023/10/1,36.166
Belgium,2023/11/1,35.019
Belgium,2023/12/1,35.328
Belgium,2024/1/1,30.956
Belgium,2024/2/1,34.792
Belgium,2024/3/1,35.263
Belgium,2024/4/1,43.953
Belgium,2024/5/1,33.134
Belgium,2024/6/1,36.208
Belgium,2024/7/1,35.208
Belgium,2024/8/1,37.617
Belgium,2024/9/1,39.561
Belgium,2024/10/1,33.389
Belgium,2024/11/1,26.881
Belgium,2024/12/1,32.32
Belgium,2025/1/1,25.578
Belgium,2025/2/1,28.211
Belgium,2025/3/1,32.009
Belgium,2025/4/1,42.773
Belgium,2025/5/1,48.372
Belgium,2025/6/1,49.654
Belgium,2025/7/1,44.527
Belgium,2025/8/1,44.534
Belgium,2025/9/1,48.904
Belgium,2025/10/1,40.664
Belgium,2025/11/1,38.386
Bulgaria,2017/1/1,10.99
Bulgaria,2017/2/1,9.83
Bulgaria,2017/3/1,13.272
Bulgaria,2017/4/1,15.723
Bulgaria,2017/5/1,18.623
Bulgaria,2017/6/1,20.961
Bulgaria,2017/7/1,16.724
Bulgaria,2017/8/1,14.856
Bulgaria,2017/9/1,12.433
Bulgaria,2017/10/1,13
Bulgaria,2017/11/1,8.61
Bulgaria,2017/12/1,11.144
Bulgaria,2018/1/1,10.604
Bulgaria,2018/2/1,14.805
Bulgaria,2018/3/1,19.117
Bulgaria,2018/4/1,26.262
Bulgaria,2018/5/1,27.774
Bulgaria,2018/6/1,16.942
Bulgaria,2018/7/1,20.864
Bulgaria,2018/8/1,19.41
Bulgaria,2018/9/1,17.63
Bulgaria,2018/10/1,15.128
Bulgaria,2018/11/1,12.124
Bulgaria,2018/12/1,13.369
Bulgaria,2019/1/1,13.253
Bulgaria,2019/2/1,17.367
Bulgaria,2019/3/1,16.399
Bulgaria,2019/4/1,15.901
Bulgaria,2019/5/1,25.271
Bulgaria,2019/6/1,27.109
Bulgaria,2019/7/1,18.406
Bulgaria,2019/8/1,18.352
Bulgaria,2019/9/1,14.887
Bulgaria,2019/10/1,14.615
Bulgaria,2019/11/1,13.314
Bulgaria,2019/12/1,14.359
Bulgaria,2020/1/1,13.363
Bulgaria,2020/2/1,12.17
Bulgaria,2020/3/1,17.86
Bulgaria,2020/4/1,26.692
Bulgaria,2020/5/1,29.113
Bulgaria,2020/6/1,22.741
Bulgaria,2020/7/1,21.314
Bulgaria,2020/8/1,19.413
Bulgaria,2020/9/1,20.639
Bulgaria,2020/10/1,19.782
Bulgaria,2020/11/1,16.957
Bulgaria,2020/12/1,16.504
Bulgaria,2021/1/1,22.973
Bulgaria,2021/2/1,24.627
Bulgaria,2021/3/1,24.399
Bulgaria,2021/4/1,27.881
Bulgaria,2021/5/1,32.644
Bulgaria,2021/6/1,29.625
Bulgaria,2021/7/1,22.381
Bulgaria,2021/8/1,18.823
Bulgaria,2021/9/1,17.425
Bulgaria,2021/10/1,20.328
Bulgaria,2021/11/1,15.907
Bulgaria,2021/12/1,20.252
Bulgaria,2022/1/1,19.324
Bulgaria,2022/2/1,17.583
Bulgaria,2022/3/1,19.761
Bulgaria,2022/4/1,22.874
Bulgaria,2022/5/1,24.665
Bulgaria,2022/6/1,22.159
Bulgaria,2022/7/1,20.623
Bulgaria,2022/8/1,20.205
Bulgaria,2022/9/1,19.317
Bulgaria,2022/10/1,23.125
Bulgaria,2022/11/1,15.945
Bulgaria,2022/12/1,15.88
Bulgaria,2023/1/1,17.059
Bulgaria,2023/2/1,19.702
Bulgaria,2023/3/1,20.067
Bulgaria,2023/4/1,28.864
Bulgaria,2023/5/1,39.762
Bulgaria,2023/6/1,37.095
Bulgaria,2023/7/1,31.568
Bulgaria,2023/8/1,30.151
Bulgaria,2023/9/1,26.859
Bulgaria,2023/10/1,27.935
Bulgaria,2023/11/1,24.694
Bulgaria,2023/12/1,18.955
Bulgaria,2024/1/1,21.631
Bulgaria,2024/2/1,24.986
Bulgaria,2024/3/1,26.232
Bulgaria,2024/4/1,35.681
Bulgaria,2024/5/1,48.835
Bulgaria,2024/6/1,50.082
Bulgaria,2024/7/1,35.774
Bulgaria,2024/8/1,33.348
Bulgaria,2024/9/1,28.734
Bulgaria,2024/10/1,30.551
Bulgaria,2024/11/1,24.633
Bulgaria,2024/12/1,17.142
Bulgaria,2025/1/1,19.633
Bulgaria,2025/2/1,22.572
Bulgaria,2025/3/1,29.019
Bulgaria,2025/4/1,32.428
Bulgaria,2025/5/1,46.776
Bulgaria,2025/6/1,44.207
Bulgaria,2025/7/1,44.425
Bulgaria,2025/8/1,37.602
Bulgaria,2025/9/1,32.464
Bulgaria,2025/10/1,28.508
Bulgaria,2025/11/1,33.63
Czechia,2017/1/1,7.709
Czechia,2017/2/1,9.022
Czechia,2017/3/1,12.1
Czechia,2017/4/1,11.956
Czechia,2017/5/1,15.708
Czechia,2017/6/1,15.645
Czechia,2017/7/1,15.444
Czechia,2017/8/1,13.213
Czechia,2017/9/1,10.144
Czechia,2017/10/1,9.491
