country,quarter,gdp
Austria,2017-Q1,87855.5
Austria,2017-Q2,91452.7
Austria,2017-Q3,91376.1
Austria,2017-Q4,96610.6
Austria,2018-Q1,92092.9
Austria,2018-Q2,94968.2
Austria,2018-Q3,94753.9
Austria,2018-Q4,101419.2
Austria,2019-Q1,95473.5
Austria,2019-Q2,98272.6
Austria,2019-Q3,98340.3
Austria,2019-Q4,103620.4
Austria,2020-Q1,95319.4
Austria,2020-Q2,87490.9
Austria,2020-Q3,96631.6
Austria,2020-Q4,100876
Austria,2021-Q1,91728.4
Austria,2021-Q2,101189.6
Austria,2021-Q3,103178.9
Austria,2021-Q4,110134.6
Austria,2022-Q1,105590.3
Austria,2022-Q2,112728.2
Austria,2022-Q3,112020.5
Austria,2022-Q4,119043.2
Austria,2023-Q1,117165.5
Austria,2023-Q2,119482
Austria,2023-Q3,117029.4
Austria,2023-Q4,124160.5
Austria,2024-Q1,119763.6
Austria,2024-Q2,123219.1
Austria,2024-Q3,121550.8
Austria,2024-Q4,129554
Austria,2025-Q1,123229.9
Austria,2025-Q2,127326.1
Austria,2025-Q3,126451
Austria,2025-Q4,134442.7
Bulgaria,2017-Q1,10724.6
Bulgaria,2017-Q2,12741.7
Bulgaria,2017-Q3,14301.8
Bulgaria,2017-Q4,14732.9
Bulgaria,2018-Q1,11289.1
Bulgaria,2018-Q2,13777.3
Bulgaria,2018-Q3,15499.5
Bulgaria,2018-Q4,15433.9
Bulgaria,2019-Q1,12881.2
Bulgaria,2019-Q2,15153.5
Bulgaria,2019-Q3,16279
Bulgaria,2019-Q4,16880.7
Bulgaria,2020-Q1,13239.7
Bulgaria,2020-Q2,14397.5
Bulgaria,2020-Q3,16828.7
Bulgaria,2020-Q4,17389.7
Bulgaria,2021-Q1,14581.6
Bulgaria,2021-Q2,16579.6
Bulgaria,2021-Q3,19605.9
Bulgaria,2021-Q4,20576.9
Bulgaria,2022-Q1,17298.1
Bulgaria,2022-Q2,20057.6
Bulgaria,2022-Q3,23419.6
Bulgaria,2022-Q4,25302.9
Bulgaria,2023-Q1,20373.6
Bulgaria,2023-Q2,22163.8
Bulgaria,2023-Q3,24833.8
Bulgaria,2023-Q4,27154
Bulgaria,2024-Q1,22260.5
Bulgaria,2024-Q2,25135.8
Bulgaria,2024-Q3,27857.3
Bulgaria,2024-Q4,29513.7
Bulgaria,2025-Q1,23290.6
Bulgaria,2025-Q2,27236.5
Bulgaria,2025-Q3,32037.2
Bulgaria,2025-Q4,33414.3
Cyprus,2017-Q1,4733
Cyprus,2017-Q2,5152.3
Cyprus,2017-Q3,5259.8
Cyprus,2017-Q4,5167.3
Cyprus,2018-Q1,5058.9
Cyprus,2018-Q2,5629.6
Cyprus,2018-Q3,5590
Cyprus,2018-Q4,5529.4
Cyprus,2019-Q1,5405.6
Cyprus,2019-Q2,5958.2
Cyprus,2019-Q3,6127.6
