country,year,GHI
Austria,2017,928.5
Austria,2018,934.1
Austria,2019,930.7
Austria,2020,937.3
Austria,2021,933.6
Austria,2022,942.2
Austria,2023,946.9
Austria,2024,950.5
Austria,2025,957.8
Bulgaria,2017,1372.5
Bulgaria,2018,1378.2
Bulgaria,2019,1385.6
Bulgaria,2020,1370.8
Bulgaria,2021,1382.3
Bulgaria,2022,1390.5
Bulgaria,2023,1396.8
Bulgaria,2024,1402.1
Bulgaria,2025,1415.2
Cyprus,2017,1772.8
Cyprus,2018,1779.5
Cyprus,2019,1786.3
Cyprus,2020,1775.6
Cyprus,2021,1783.2
Cyprus,2022,1791.8
Cyprus,2023,1798.5
Cyprus,2024,1804.2
Cyprus,2025,1819.6
Czechia,2017,1025.8
Czechia,2018,1032.1
Czechia,2019,1028.7
Czechia,2020,1035.4
Czechia,2021,1029.6
Czechia,2022,1040.2
Czechia,2023,1045.8
Czechia,2024,1050.3
Czechia,2025,1058.9
Denmark,2017,826.3
Denmark,2018,830.5
Denmark,2019,828.1
Denmark,2020,833.7
Denmark,2021,831.2
Denmark,2022,838.6
Denmark,2023,842.9
Denmark,2024,846.5
Denmark,2025,852.8
Estonia,2017,805.2
Estonia,2018,809.7
Estonia,2019,807.3
Estonia,2020,812.8
Estonia,2021,810.1
Estonia,2022,816.5
Estonia,2023,820.8
Estonia,2024,824.3
Estonia,2025,830.5
Germany,2017,948.6
Germany,2018,954.2
Germany,2019,950.7
Germany,2020,957.3
Germany,2021,953.1
Germany,2022,962.8
Germany,2023,967.5
Germany,2024,971.2
Germany,2025,978.6
Hungary,2017,1185.6
Hungary,2018,1192.3
Hungary,2019,1189.1
Hungary,2020,1196.8
Hungary,2021,1193.2
Hungary,2022,1202.5
Hungary,2023,1208.3
Hungary,2024,1213.1
Hungary,2025,1222.8
Latvia,2017,838.5
Latvia,2018,842.9
Latvia,2019,840.5
Latvia,2020,846.2
Latvia,2021,843.6
Latvia,2022,850.1
Latvia,2023,854.7
Latvia,2024,858.3
Latvia,2025,864.8
Lithuania,2017,852.3
Lithuania,2018,856.8
Lithuania,2019,854.2
Lithuania,2020,860.1
Lithuania,2021,857.5
Lithuania,2022,864.2
Lithuania,2023,868.9
Lithuania,2024,872.5
Lithuania,2025,879.2
Luxembourg,2017,986.5
Luxembourg,2018,992.1
Luxembourg,2019,988.7
Luxembourg,2020,995.4
Luxembourg,2021,991.8
Luxembourg,2022,1001.5
Luxembourg,2023,1006.2
Luxembourg,2024,1010.8
Luxembourg,2025,1018.5
Malta,2017,1845.2
Malta,2018,1852.8
Malta,2019,1859.6
Malta,2020,1848.9
Malta,2021,1856.5
Malta,2022,1865.8
Malta,2023,1872.5
Malta,2024,1878.3
Malta,2025,1894.6
Netherlands,2017,896.3
Netherlands,2018,901.8
Netherlands,2019,899.2
Netherlands,2020,905.7
Netherlands,2021,903.1
Netherlands,2022,910.5
Netherlands,2023,915.2
Netherlands,2024,918.8
Netherlands,2025,925.6
Norway,2017,752.1
Norway,2018,756.3
Norway,2019,754
Norway,2020,759.5
Norway,2021,756.8
Norway,2022,764.2
Norway,2023,768.5
Norway,2024,772.1
Norway,2025,778.3
Poland,2017,965.2
Poland,2018,970.8
Poland,2019,968.3
Poland,2020,974.9
Poland,2021,971.2
Poland,2022,980.5
Poland,2023,985.2
Poland,2024,988.8
Poland,2025,996.5
Romania,2017,1248.6
Romania,2018,1255.3
Romania,2019,1252.1
Romania,2020,1259.8
Romania,2021,1256.2
Romania,2022,1265.5
Romania,2023,1271.3
Romania,2024,1276.1
Romania,2025,1286.8
Slovenia,2017,1125.8
Slovenia,2018,1132.1
Slovenia,2019,1128.7
Slovenia,2020,1135.4
Slovenia,2021,1131.8
Slovenia,2022,1141.5
Slovenia,2023,1146.2
Slovenia,2024,1150.8
Slovenia,2025,1159.5
Sweden,2017,768.3
Sweden,2018,772.5
Sweden,2019,770.1
Sweden,2020,775.7
Sweden,2021,773.2
Sweden,2022,780.6
Sweden,2023,784.9
Sweden,2024,788.5
Sweden,2025,794.8
Turkey,2017,1645.6
Turkey,2018,1652.3
Turkey,2019,1659.1
Turkey,2020,1648.4
Turkey,2021,1656
Turkey,2022,1665.3
Turkey,2023,1671
Turkey,2024,1676.8
Turkey,2025,1692.5
