country,month,Gwh
Austria,2017/1/1,3074.288
Austria,2017/2/1,2578.002
Austria,2017/3/1,3730.42
Austria,2017/4/1,3695.41
Austria,2017/5/1,4465.873
Austria,2017/6/1,3979.431
Austria,2017/7/1,4230.602
Austria,2017/8/1,4720.52
Austria,2017/9/1,4822.447
Austria,2017/10/1,3944.406
Austria,2017/11/1,3852.622
Austria,2017/12/1,3878.967
Austria,2018/1/1,4305.411
Austria,2018/2/1,3524.728
Austria,2018/3/1,3441.494
Austria,2018/4/1,4557.838
Austria,2018/5/1,4939.223
Austria,2018/6/1,4546.079
Austria,2018/7/1,3778.851
Austria,2018/8/1,3141.604
Austria,2018/9/1,3231.407
Austria,2018/10/1,3232.431
Austria,2018/11/1,3237.224
Austria,2018/12/1,3656.609
Austria,2019/1/1,4119.727
Austria,2019/2/1,3379.85
Austria,2019/3/1,4435.321
Austria,2019/4/1,4723.691
Austria,2019/5/1,5102.429
Austria,2019/6/1,5326.03
Austria,2019/7/1,4388.718
Austria,2019/8/1,4093.864
Austria,2019/9/1,3566.382
Austria,2019/10/1,3274.752
Austria,2019/11/1,3901.497
Austria,2019/12/1,3639.567
Austria,2020/1/1,3224.005
Austria,2020/2/1,4033.043
Austria,2020/3/1,4049.386
Austria,2020/4/1,3592.725
Austria,2020/5/1,4502.706
Austria,2020/6/1,5033.629
Austria,2020/7/1,4908.227
Austria,2020/8/1,4629.917
Austria,2020/9/1,4529.002
Austria,2020/10/1,4528.579
Austria,2020/11/1,3658.366
Austria,2020/12/1,3477.842
Austria,2021/1/1,3308.497
Austria,2021/2/1,3472.805
Austria,2021/3/1,3305.492
Austria,2021/4/1,3485.076
Austria,2021/5/1,5078.092
Austria,2021/6/1,5085.921
Austria,2021/7/1,4944.421
Austria,2021/8/1,5224.328
Austria,2021/9/1,3655.333
Austria,2021/10/1,3358.305
Austria,2021/11/1,3339.622
Austria,2021/12/1,3499.865
Austria,2022/1/1,4109.272
Austria,2022/2/1,3529.675
Austria,2022/3/1,3369.832
Austria,2022/4/1,4035.313
Austria,2022/5/1,4465.005
Austria,2022/6/1,4532.441
Austria,2022/7/1,3810.322
Austria,2022/8/1,3549.468
Austria,2022/9/1,3656.602
Austria,2022/10/1,3624.782
Austria,2022/11/1,3100.701
Austria,2022/12/1,3399.515
Austria,2023/1/1,3712.006
Austria,2023/2/1,3482.24
Austria,2023/3/1,3871.298
Austria,2023/4/1,4150.284
Austria,2023/5/1,5444.002
Austria,2023/6/1,4441.225
Austria,2023/7/1,4174.198
Austria,2023/8/1,4834.097
Austria,2023/9/1,3887.32
Austria,2023/10/1,3416.498
Austria,2023/11/1,4674.983
Austria,2023/12/1,4865.356
Austria,2024/1/1,5166.731
Austria,2024/2/1,4378.335
Austria,2024/3/1,4462.499
Austria,2024/4/1,4797.823
Austria,2024/5/1,5231.519
Austria,2024/6/1,5328.238
Austria,2024/7/1,5400.274
Austria,2024/8/1,4188.501
Austria,2024/9/1,4582.548
Austria,2024/10/1,5331.12
Austria,2024/11/1,3575.33
Austria,2024/12/1,3814.311
Austria,2025/1/1,4403.684
Austria,2025/2/1,3917.601
Austria,2025/3/1,4444.475
Austria,2025/4/1,5326.213
Austria,2025/5/1,5646.186
Austria,2025/6/1,5917.039
Austria,2025/7/1,6149.391
Austria,2025/8/1,6059.552
Austria,2025/9/1,4932.166
Austria,2025/10/1,4800.137
Austria,2025/11/1,4132.18
Bulgaria,2017/1/1,468.222
Bulgaria,2017/2/1,351.064
Bulgaria,2017/3/1,476.357
Bulgaria,2017/4/1,488.501
Bulgaria,2017/5/1,536.165
Bulgaria,2017/6/1,633.544
Bulgaria,2017/7/1,565.479
Bulgaria,2017/8/1,512.53
Bulgaria,2017/9/1,380.664
Bulgaria,2017/10/1,397.464
Bulgaria,2017/11/1,311.911
Bulgaria,2017/12/1,414.811
Bulgaria,2018/1/1,396.78
Bulgaria,2018/2/1,521.501
Bulgaria,2018/3/1,711.345
Bulgaria,2018/4/1,732.012
Bulgaria,2018/5/1,749.274
Bulgaria,2018/6/1,547.623
Bulgaria,2018/7/1,719.43
Bulgaria,2018/8/1,700.344
Bulgaria,2018/9/1,573.467
Bulgaria,2018/10/1,514.661
Bulgaria,2018/11/1,485.794
Bulgaria,2018/12/1,573.814
Bulgaria,2019/1/1,560.545
Bulgaria,2019/2/1,657.043
Bulgaria,2019/3/1,594.263
Bulgaria,2019/4/1,526.974
Bulgaria,2019/5/1,693.572
Bulgaria,2019/6/1,763.351
Bulgaria,2019/7/1,599.295
Bulgaria,2019/8/1,612.78
Bulgaria,2019/9/1,445.493
Bulgaria,2019/10/1,446.36
Bulgaria,2019/11/1,458.631
Bulgaria,2019/12/1,532.93
Bulgaria,2020/1/1,479.482
Bulgaria,2020/2/1,418.507
Bulgaria,2020/3/1,638.451
Bulgaria,2020/4/1,746.31
Bulgaria,2020/5/1,729.003
Bulgaria,2020/6/1,660.548
Bulgaria,2020/7/1,654.945
Bulgaria,2020/8/1,588.641
Bulgaria,2020/9/1,580.954
Bulgaria,2020/10/1,535
Bulgaria,2020/11/1,562.453
Bulgaria,2020/12/1,584.58
Bulgaria,2021/1/1,874.096
Bulgaria,2021/2/1,849.767
Bulgaria,2021/3/1,955.839
Bulgaria,2021/4/1,984.332
Bulgaria,2021/5/1,995.299
Bulgaria,2021/6/1,886.529
Bulgaria,2021/7/1,786.035
Bulgaria,2021/8/1,673.599
Bulgaria,2021/9/1,635.023
Bulgaria,2021/10/1,716.173
Bulgaria,2021/11/1,637.008
Bulgaria,2021/12/1,923.093
Bulgaria,2022/1/1,909.474
Bulgaria,2022/2/1,716.07
Bulgaria,2022/3/1,925.485
Bulgaria,2022/4/1,858.707
Bulgaria,2022/5/1,812.096
Bulgaria,2022/6/1,817.63
Bulgaria,2022/7/1,788.55
Bulgaria,2022/8/1,761.966
Bulgaria,2022/9/1,651.858
Bulgaria,2022/10/1,666.746
Bulgaria,2022/11/1,606.435
Bulgaria,2022/12/1,630.306
Bulgaria,2023/1/1,686.799
Bulgaria,2023/2/1,737.572
Bulgaria,2023/3/1,679.347
Bulgaria,2023/4/1,806.843
Bulgaria,2023/5/1,915.176
Bulgaria,2023/6/1,1023.909
Bulgaria,2023/7/1,976.696
Bulgaria,2023/8/1,893.864
Bulgaria,2023/9/1,774.56
Bulgaria,2023/10/1,705.718
Bulgaria,2023/11/1,695.45
Bulgaria,2023/12/1,651.914
Bulgaria,2024/1/1,736.059
Bulgaria,2024/2/1,737.042
Bulgaria,2024/3/1,804.378
Bulgaria,2024/4/1,1067.909
Bulgaria,2024/5/1,1177.245
Bulgaria,2024/6/1,1150.692
Bulgaria,2024/7/1,1159.812
Bulgaria,2024/8/1,1045.955
Bulgaria,2024/9/1,841.621
Bulgaria,2024/10/1,818.835
Bulgaria,2024/11/1,671.521
Bulgaria,2024/12/1,595.067
Bulgaria,2025/1/1,751.184
Bulgaria,2025/2/1,866.321
Bulgaria,2025/3/1,929.496
Bulgaria,2025/4/1,989.15
Bulgaria,2025/5/1,1120.966
Bulgaria,2025/6/1,1238.152
Bulgaria,2025/7/1,1341.904
Bulgaria,2025/8/1,1094.248
Bulgaria,2025/9/1,880.851
Bulgaria,2025/10/1,824.891
Bulgaria,2025/11/1,838.386
Cyprus,2017/1/1,34.788
Cyprus,2017/2/1,26.8
Cyprus,2017/3/1,36.537
Cyprus,2017/4/1,36.041
Cyprus,2017/5/1,37.042
Cyprus,2017/6/1,34.271
Cyprus,2017/7/1,35.921
Cyprus,2017/8/1,32.366
Cyprus,2017/9/1,35.976
Cyprus,2017/10/1,34.535
Cyprus,2017/11/1,33.468
Cyprus,2017/12/1,30.425
Cyprus,2018/1/1,36.499
Cyprus,2018/2/1,30.1
Cyprus,2018/3/1,39.849
Cyprus,2018/4/1,35.046
Cyprus,2018/5/1,38.197
Cyprus,2018/6/1,40.925
Cyprus,2018/7/1,42.286
Cyprus,2018/8/1,42.747
Cyprus,2018/9/1,36.834
Cyprus,2018/10/1,34.367
Cyprus,2018/11/1,33.059
Cyprus,2018/12/1,37.136
Cyprus,2019/1/1,48.603
Cyprus,2019/2/1,43.197
Cyprus,2019/3/1,40.53
Cyprus,2019/4/1,37.401
Cyprus,2019/5/1,43.619
Cyprus,2019/6/1,36.359
Cyprus,2019/7/1,45.973
Cyprus,2019/8/1,40.984
Cyprus,2019/9/1,41.868
Cyprus,2019/10/1,39.71
Cyprus,2019/11/1,37.067
Cyprus,2019/12/1,36.129
Cyprus,2020/1/1,44.282
Cyprus,2020/2/1,44.396
Cyprus,2020/3/1,55.599
Cyprus,2020/4/1,50.886
Cyprus,2020/5/1,62.65
Cyprus,2020/6/1,56.703
Cyprus,2020/7/1,53.625
Cyprus,2020/8/1,57.651
Cyprus,2020/9/1,53.125
Cyprus,2020/10/1,50.248
Cyprus,2020/11/1,39.121
Cyprus,2020/12/1,39.231
Cyprus,2021/1/1,51.27
Cyprus,2021/2/1,51.82
Cyprus,2021/3/1,68.378
Cyprus,2021/4/1,60.431
Cyprus,2021/5/1,74.745
Cyprus,2021/6/1,71.946
Cyprus,2021/7/1,75.235
Cyprus,2021/8/1,73.789
Cyprus,2021/9/1,69.024
Cyprus,2021/10/1,62.327
Cyprus,2021/11/1,53.361
Cyprus,2021/12/1,49.922
Cyprus,2022/1/1,58.671
Cyprus,2022/2/1,52.865
Cyprus,2022/3/1,71.94
Cyprus,2022/4/1,79.85
Cyprus,2022/5/1,83.809
Cyprus,2022/6/1,84.562
Cyprus,2022/7/1,93.146
Cyprus,2022/8/1,83.66
Cyprus,2022/9/1,83.893
Cyprus,2022/10/1,72.088
Cyprus,2022/11/1,58.321
Cyprus,2022/12/1,51.179
Cyprus,2023/1/1,63.179
Cyprus,2023/2/1,67.088
Cyprus,2023/3/1,81.51
Cyprus,2023/4/1,79.904
Cyprus,2023/5/1,99.923
Cyprus,2023/6/1,108.072
Cyprus,2023/7/1,121.599
Cyprus,2023/8/1,111.2
Cyprus,2023/9/1,107.795
Cyprus,2023/10/1,89.927
Cyprus,2023/11/1,82.015
Cyprus,2023/12/1,70.395
Cyprus,2024/1/1,74.275
Cyprus,2024/2/1,70.531
Cyprus,2024/3/1,96.021
Cyprus,2024/4/1,96.447
Cyprus,2024/5/1,115.893
Cyprus,2024/6/1,140.702
Cyprus,2024/7/1,151.413
Cyprus,2024/8/1,147.112
Cyprus,2024/9/1,141.025
Cyprus,2024/10/1,119.567
Cyprus,2024/11/1,91.141
Cyprus,2024/12/1,80.338
Cyprus,2025/1/1,86.041
Cyprus,2025/2/1,93.333
Cyprus,2025/3/1,101.981
Cyprus,2025/4/1,112.088
Cyprus,2025/5/1,145.858
Cyprus,2025/6/1,178.482
Cyprus,2025/7/1,200.276
Cyprus,2025/8/1,173.151
Cyprus,2025/9/1,156.184
Cyprus,2025/10/1,116.691
Cyprus,2025/11/1,111.323
Czechia,2017/1/1,622.791
Czechia,2017/2/1,627.151
Czechia,2017/3/1,893.689
Czechia,2017/4/1,875.433
Czechia,2017/5/1,990.444
Czechia,2017/6/1,847.109
Czechia,2017/7/1,779.36
Czechia,2017/8/1,801.422
Czechia,2017/9/1,678.762
Czechia,2017/10/1,678.022
Czechia,2017/11/1,685.351
Czechia,2017/12/1,709.115
Czechia,2018/1/1,762.589
Czechia,2018/2/1,707.564
Czechia,2018/3/1,777.726
Czechia,2018/4/1,906.938
Czechia,2018/5/1,863.054
Czechia,2018/6/1,792.491
Czechia,2018/7/1,791.323
Czechia,2018/8/1,757.26
Czechia,2018/9/1,727.047
Czechia,2018/10/1,693.26
Czechia,2018/11/1,597.668
Czechia,2018/12/1,629.161
Czechia,2019/1/1,744.908
Czechia,2019/2/1,765.925
Czechia,2019/3/1,1030.696
Czechia,2019/4/1,951.666
Czechia,2019/5/1,846.193
Czechia,2019/6/1,837.998
Czechia,2019/7/1,785.699
Czechia,2019/8/1,780.607
Czechia,2019/9/1,753.184
Czechia,2019/10/1,774.849
Czechia,2019/11/1,636.058
Czechia,2019/12/1,689.739
Czechia,2020/1/1,668.937
Czechia,2020/2/1,765.621
Czechia,2020/3/1,917.269
Czechia,2020/4/1,900.897
Czechia,2020/5/1,835.33
Czechia,2020/6/1,880.969
Czechia,2020/7/1,914.205
Czechia,2020/8/1,878.486
Czechia,2020/9/1,812.398
