country,month,clean_share
Austria,2017/1/1,48.874
Austria,2017/2/1,52.048
Austria,2017/3/1,66.342
Austria,2017/4/1,72.096
Austria,2017/5/1,79.419
Austria,2017/6/1,75.118
Austria,2017/7/1,76.424
Austria,2017/8/1,78.524
Austria,2017/9/1,78.458
Austria,2017/10/1,69.215
Austria,2017/11/1,64.333
Austria,2017/12/1,65.953
Austria,2018/1/1,66.681
Austria,2018/2/1,62.1
Austria,2018/3/1,63.91
Austria,2018/4/1,77.887
Austria,2018/5/1,80.102
Austria,2018/6/1,79.607
Austria,2018/7/1,77.074
Austria,2018/8/1,73.668
Austria,2018/9/1,70.508
Austria,2018/10/1,64.676
Austria,2018/11/1,60.062
Austria,2018/12/1,58.946
Austria,2019/1/1,61.917
Austria,2019/2/1,61.489
Austria,2019/3/1,73.268
Austria,2019/4/1,75.269
Austria,2019/5/1,81.496
Austria,2019/6/1,81.022
Austria,2019/7/1,75.286
Austria,2019/8/1,73.882
Austria,2019/9/1,67.785
Austria,2019/10/1,60.898
Austria,2019/11/1,65.142
Austria,2019/12/1,63.852
Austria,2020/1/1,55.795
Austria,2020/2/1,68.868
Austria,2020/3/1,69.084
Austria,2020/4/1,74.157
Austria,2020/5/1,80.62
Austria,2020/6/1,82.34
Austria,2020/7/1,77.896
Austria,2020/8/1,77.642
Austria,2020/9/1,78.191
Austria,2020/10/1,73.093
Austria,2020/11/1,66.038
Austria,2020/12/1,62.414
Austria,2021/1/1,61.173
Austria,2021/2/1,66.274
Austria,2021/3/1,64.483
Austria,2021/4/1,67.994
Austria,2021/5/1,78.888
Austria,2021/6/1,80.735
Austria,2021/7/1,81.582
Austria,2021/8/1,81.853
Austria,2021/9/1,76.838
Austria,2021/10/1,66.77
Austria,2021/11/1,59.507
Austria,2021/12/1,61.447
Austria,2022/1/1,64.659
Austria,2022/2/1,65.243
Austria,2022/3/1,60.31
Austria,2022/4/1,71.8
Austria,2022/5/1,73.869
Austria,2022/6/1,78.324
Austria,2022/7/1,75.923
Austria,2022/8/1,76.109
Austria,2022/9/1,70.842
Austria,2022/10/1,70.246
Austria,2022/11/1,62.419
Austria,2022/12/1,64.272
Austria,2023/1/1,68.584
Austria,2023/2/1,67.197
Austria,2023/3/1,69.629
Austria,2023/4/1,71.952
Austria,2023/5/1,77.301
Austria,2023/6/1,76.689
Austria,2023/7/1,75.05
Austria,2023/8/1,79.275
Austria,2023/9/1,73.844
Austria,2023/10/1,71.754
Austria,2023/11/1,73.627
Austria,2023/12/1,74.895
Austria,2024/1/1,71.363
Austria,2024/2/1,73.728
Austria,2024/3/1,73.165
Austria,2024/4/1,75.086
Austria,2024/5/1,76.729
Austria,2024/6/1,77.364
Austria,2024/7/1,77.789
Austria,2024/8/1,74.82
Austria,2024/9/1,78.289
Austria,2024/10/1,77.432
Austria,2024/11/1,60.245
Austria,2024/12/1,63.931
Austria,2025/1/1,69.077
Austria,2025/2/1,68.109
Austria,2025/3/1,77.143
Austria,2025/4/1,86.81
Austria,2025/5/1,94.401
Austria,2025/6/1,94.321
Austria,2025/7/1,93.511
Austria,2025/8/1,94.548
Austria,2025/9/1,91.659
Austria,2025/10/1,80.709
Austria,2025/11/1,75.444
Bulgaria,2017/1/1,10.99
Bulgaria,2017/2/1,9.83
Bulgaria,2017/3/1,13.272
Bulgaria,2017/4/1,15.723
Bulgaria,2017/5/1,18.623
Bulgaria,2017/6/1,20.961
Bulgaria,2017/7/1,16.724
Bulgaria,2017/8/1,14.856
Bulgaria,2017/9/1,12.433
Bulgaria,2017/10/1,13
Bulgaria,2017/11/1,8.61
Bulgaria,2017/12/1,11.144
Bulgaria,2018/1/1,10.604
Bulgaria,2018/2/1,14.805
Bulgaria,2018/3/1,19.117
Bulgaria,2018/4/1,26.262
Bulgaria,2018/5/1,27.774
Bulgaria,2018/6/1,16.942
Bulgaria,2018/7/1,20.864
Bulgaria,2018/8/1,19.41
Bulgaria,2018/9/1,17.63
Bulgaria,2018/10/1,15.128
Bulgaria,2018/11/1,12.124
Bulgaria,2018/12/1,13.369
Bulgaria,2019/1/1,13.253
Bulgaria,2019/2/1,17.367
Bulgaria,2019/3/1,16.399
Bulgaria,2019/4/1,15.901
Bulgaria,2019/5/1,25.271
Bulgaria,2019/6/1,27.109
Bulgaria,2019/7/1,18.406
Bulgaria,2019/8/1,18.352
Bulgaria,2019/9/1,14.887
Bulgaria,2019/10/1,14.615
Bulgaria,2019/11/1,13.314
Bulgaria,2019/12/1,14.359
Bulgaria,2020/1/1,13.363
Bulgaria,2020/2/1,12.17
Bulgaria,2020/3/1,17.86
Bulgaria,2020/4/1,26.692
Bulgaria,2020/5/1,29.113
Bulgaria,2020/6/1,22.741
Bulgaria,2020/7/1,21.314
Bulgaria,2020/8/1,19.413
Bulgaria,2020/9/1,20.639
Bulgaria,2020/10/1,19.782
Bulgaria,2020/11/1,16.957
Bulgaria,2020/12/1,16.504
Bulgaria,2021/1/1,22.973
Bulgaria,2021/2/1,24.627
Bulgaria,2021/3/1,24.399
Bulgaria,2021/4/1,27.881
Bulgaria,2021/5/1,32.644
Bulgaria,2021/6/1,29.625
Bulgaria,2021/7/1,22.381
Bulgaria,2021/8/1,18.823
Bulgaria,2021/9/1,17.425
Bulgaria,2021/10/1,20.328
Bulgaria,2021/11/1,15.907
Bulgaria,2021/12/1,20.252
Bulgaria,2022/1/1,19.324
Bulgaria,2022/2/1,17.583
Bulgaria,2022/3/1,19.761
Bulgaria,2022/4/1,22.874
Bulgaria,2022/5/1,24.665
Bulgaria,2022/6/1,22.159
Bulgaria,2022/7/1,20.623
Bulgaria,2022/8/1,20.205
Bulgaria,2022/9/1,19.317
Bulgaria,2022/10/1,23.125
Bulgaria,2022/11/1,15.945
Bulgaria,2022/12/1,15.88
Bulgaria,2023/1/1,17.059
Bulgaria,2023/2/1,19.702
Bulgaria,2023/3/1,20.067
Bulgaria,2023/4/1,28.864
Bulgaria,2023/5/1,39.762
Bulgaria,2023/6/1,37.095
Bulgaria,2023/7/1,31.568
Bulgaria,2023/8/1,30.151
Bulgaria,2023/9/1,26.859
Bulgaria,2023/10/1,27.935
Bulgaria,2023/11/1,24.694
Bulgaria,2023/12/1,18.955
Bulgaria,2024/1/1,21.631
Bulgaria,2024/2/1,24.986
Bulgaria,2024/3/1,26.232
Bulgaria,2024/4/1,35.681
Bulgaria,2024/5/1,48.835
Bulgaria,2024/6/1,50.082
Bulgaria,2024/7/1,35.774
Bulgaria,2024/8/1,33.348
Bulgaria,2024/9/1,28.734
Bulgaria,2024/10/1,30.551
Bulgaria,2024/11/1,24.633
Bulgaria,2024/12/1,17.142
Bulgaria,2025/1/1,19.633
Bulgaria,2025/2/1,22.572
Bulgaria,2025/3/1,29.019
Bulgaria,2025/4/1,32.428
Bulgaria,2025/5/1,46.776
Bulgaria,2025/6/1,44.207
Bulgaria,2025/7/1,44.425
Bulgaria,2025/8/1,37.602
Bulgaria,2025/9/1,32.464
Bulgaria,2025/10/1,28.508
Bulgaria,2025/11/1,33.63
Cyprus,2017/1/1,8.157
Cyprus,2017/2/1,7.475
Cyprus,2017/3/1,10.777
Cyprus,2017/4/1,11.933
Cyprus,2017/5/1,10.844
Cyprus,2017/6/1,8.623
Cyprus,2017/7/1,6.435
Cyprus,2017/8/1,6.355
Cyprus,2017/9/1,7.986
Cyprus,2017/10/1,9.587
Cyprus,2017/11/1,10.233
Cyprus,2017/12/1,8.214
Cyprus,2018/1/1,9.234
Cyprus,2018/2/1,9.083
Cyprus,2018/3/1,12.228
Cyprus,2018/4/1,11.108
Cyprus,2018/5/1,9.775
Cyprus,2018/6/1,9.541
Cyprus,2018/7/1,7.918
Cyprus,2018/8/1,8.226
Cyprus,2018/9/1,8.106
Cyprus,2018/10/1,8.987
Cyprus,2018/11/1,9.891
Cyprus,2018/12/1,9.81
Cyprus,2019/1/1,10.979
Cyprus,2019/2/1,11.884
Cyprus,2019/3/1,11.489
Cyprus,2019/4/1,11.905
Cyprus,2019/5/1,12.065
Cyprus,2019/6/1,8.281
Cyprus,2019/7/1,8.594
Cyprus,2019/8/1,7.614
Cyprus,2019/9/1,9.121
Cyprus,2019/10/1,10.448
Cyprus,2019/11/1,11.386
Cyprus,2019/12/1,9.731
Cyprus,2020/1/1,10.418
Cyprus,2020/2/1,11.328
Cyprus,2020/3/1,16.636
Cyprus,2020/4/1,19.864
Cyprus,2020/5/1,19.465
Cyprus,2020/6/1,16.126
Cyprus,2020/7/1,10.566
Cyprus,2020/8/1,11.324
Cyprus,2020/9/1,10.73
Cyprus,2020/10/1,13.016
Cyprus,2020/11/1,11.458
Cyprus,2020/12/1,10.283
Cyprus,2021/1/1,13.136
Cyprus,2021/2/1,15.345
Cyprus,2021/3/1,19.663
Cyprus,2021/4/1,20.189
Cyprus,2021/5/1,21.246
Cyprus,2021/6/1,17.627
Cyprus,2021/7/1,12.797
Cyprus,2021/8/1,12.366
Cyprus,2021/9/1,15.31
Cyprus,2021/10/1,16.627
Cyprus,2021/11/1,15.962
Cyprus,2021/12/1,12.496
Cyprus,2022/1/1,12.538
Cyprus,2022/2/1,13.832
Cyprus,2022/3/1,16.217
Cyprus,2022/4/1,25.251
Cyprus,2022/5/1,23.353
Cyprus,2022/6/1,19.914
Cyprus,2022/7/1,16.599
Cyprus,2022/8/1,15.6
Cyprus,2022/9/1,18.104
Cyprus,2022/10/1,18.935
Cyprus,2022/11/1,17.691
Cyprus,2022/12/1,14.557
Cyprus,2023/1/1,15.459
Cyprus,2023/2/1,16.64
Cyprus,2023/3/1,23.339
Cyprus,2023/4/1,24.705
Cyprus,2023/5/1,27.881
Cyprus,2023/6/1,25.519
Cyprus,2023/7/1,19.689
Cyprus,2023/8/1,18.313
Cyprus,2023/9/1,21.938
Cyprus,2023/10/1,22.282
Cyprus,2023/11/1,22.32
Cyprus,2023/12/1,18.557
Cyprus,2024/1/1,18.033
Cyprus,2024/2/1,18.054
Cyprus,2024/3/1,26.587
Cyprus,2024/4/1,28.139
Cyprus,2024/5/1,30.519
Cyprus,2024/6/1,24.518
Cyprus,2024/7/1,22.818
Cyprus,2024/8/1,23.381
Cyprus,2024/9/1,27.863
Cyprus,2024/10/1,27.829
Cyprus,2024/11/1,23.898
Cyprus,2024/12/1,18.058
Cyprus,2025/1/1,19.332
Cyprus,2025/2/1,20.38
Cyprus,2025/3/1,26.844
Cyprus,2025/4/1,31.101
Cyprus,2025/5/1,36.276
Cyprus,2025/6/1,34.833
Cyprus,2025/7/1,30.532
Cyprus,2025/8/1,27.034
Cyprus,2025/9/1,28.666
Cyprus,2025/10/1,27.672
Cyprus,2025/11/1,27.708
Czechia,2017/1/1,7.709
Czechia,2017/2/1,9.022
Czechia,2017/3/1,12.1
Czechia,2017/4/1,11.956
Czechia,2017/5/1,15.708
Czechia,2017/6/1,15.645
Czechia,2017/7/1,15.444
Czechia,2017/8/1,13.213
Czechia,2017/9/1,10.144
Czechia,2017/10/1,9.491
Czechia,2017/11/1,8.983
Czechia,2017/12/1,10.084
Czechia,2018/1/1,10.937
Czechia,2018/2/1,10.696
Czechia,2018/3/1,9.865
Czechia,2018/4/1,14.559
Czechia,2018/5/1,13.091
Czechia,2018/6/1,12.822
Czechia,2018/7/1,12.844
Czechia,2018/8/1,12.058
Czechia,2018/9/1,10.987
Czechia,2018/10/1,9.551
Czechia,2018/11/1,7.948
Czechia,2018/12/1,8.218
Czechia,2019/1/1,9.311
Czechia,2019/2/1,10.583
Czechia,2019/3/1,14.717
Czechia,2019/4/1,14.819
Czechia,2019/5/1,12.656
Czechia,2019/6/1,14.637
Czechia,2019/7/1,14.772
Czechia,2019/8/1,12.889
Czechia,2019/9/1,11.545
Czechia,2019/10/1,10.353
Czechia,2019/11/1,8.687
Czechia,2019/12/1,9.379
Czechia,2020/1/1,8.883
Czechia,2020/2/1,11.404
Czechia,2020/3/1,14.112
Czechia,2020/4/1,17.161
Czechia,2020/5/1,14.766
Czechia,2020/6/1,15.404
Czechia,2020/7/1,16.877
Czechia,2020/8/1,14.311
Czechia,2020/9/1,13.208
Czechia,2020/10/1,12.108
Czechia,2020/11/1,10.68
Czechia,2020/12/1,9.843
Czechia,2021/1/1,9.182
Czechia,2021/2/1,11.721
Czechia,2021/3/1,12.839
Czechia,2021/4/1,14.772
Czechia,2021/5/1,18.661
Czechia,2021/6/1,16.693
Czechia,2021/7/1,16.847
Czechia,2021/8/1,15.118
Czechia,2021/9/1,12.882
Czechia,2021/10/1,11.055
Czechia,2021/11/1,9.076
Czechia,2021/12/1,8.773
Czechia,2022/1/1,10.355
Czechia,2022/2/1,12.578
Czechia,2022/3/1,12.799
Czechia,2022/4/1,14.849
Czechia,2022/5/1,16.846
Czechia,2022/6/1,14.728
Czechia,2022/7/1,15.059
Czechia,2022/8/1,14.338
Czechia,2022/9/1,12.675
Czechia,2022/10/1,12.147
Czechia,2022/11/1,9.4
Czechia,2022/12/1,8.927
