country,year,percentage
Austria,2015,18.83
Austria,2016,21.85
Austria,2017,18.13
Austria,2018,14.23
Austria,2019,14.08
Austria,2020,18.75
Bulgaria,2015,71.67
Bulgaria,2016,67.59
Bulgaria,2017,54.1
Bulgaria,2018,57.38
Bulgaria,2019,58.12
Bulgaria,2020,12.68
Cyprus,2015,14.55
Cyprus,2016,16
Cyprus,2017,12.8
Cyprus,2018,8.65
Cyprus,2019,12.33
Cyprus,2020,15.84
Czechia,2015,53.51
Czechia,2016,57.46
Czechia,2017,50.55
Czechia,2018,50.03
Czechia,2019,45.67
Czechia,2020,46.94
Denmark,2015,26.04
Denmark,2016,29.13
Denmark,2017,25.2
Denmark,2018,16.88
Denmark,2019,12.12
Denmark,2020,16.61
Estonia,2015,72.4
Estonia,2016,75.29
Estonia,2017,70.46
Estonia,2018,65.96
Estonia,2019,72.08
Estonia,2020,69.19
Germany,2015,35.39
Germany,2016,39.4
Germany,2017,38.25
Germany,2018,37.05
Germany,2019,32.13
Germany,2020,33.59
Hungary,2015,65.03
Hungary,2016,60.57
Hungary,2017,50.01
Hungary,2018,52.07
Hungary,2019,56.26
Hungary,2020,50.51
Latvia,2015,63.68
Latvia,2016,69.49
Latvia,2017,62.12
Latvia,2018,52.96
Latvia,2019,64.7
Latvia,2020,68.17
Lithuania,2015,72.33
Lithuania,2016,78.34
Lithuania,2017,64.73
Lithuania,2018,67.61
Lithuania,2019,77.47
Lithuania,2020,71.93
Luxembourg,2015,24.99
Luxembourg,2016,26.17
Luxembourg,2017,30.53
Luxembourg,2018,25
Luxembourg,2019,21.46
Luxembourg,2020,21.56
Malta,2015,26.61
Malta,2016,22.17
Malta,2017,9.74
Malta,2018,14.04
Malta,2019,13.34
Malta,2020,15.22
Netherlands,2015,35.73
Netherlands,2016,38.87
Netherlands,2017,39.07
Netherlands,2018,38.47
Netherlands,2019,28.97
Netherlands,2020,28.01
Norway,2015,0
Norway,2016,0
Norway,2017,0
Norway,2018,0
Norway,2019,0
Norway,2020,0
Poland,2015,78.88
Poland,2016,75.64
Poland,2017,72.03
Poland,2018,71.85
Poland,2019,66.47
Poland,2020,69.47
Romania,2015,34.73
Romania,2016,34.91
Romania,2017,34.55
Romania,2018,34.16
Romania,2019,33.69
Romania,2020,29.13
Slovenia,2015,14.63
Slovenia,2016,17.5
Slovenia,2017,17.35
Slovenia,2018,15.84
Slovenia,2019,27.83
Slovenia,2020,26.26
Sweden,2015,44.44
Sweden,2016,44.82
Sweden,2017,37.97
Sweden,2018,35.19
Sweden,2019,31.81
Sweden,2020,17.27
Turkey,2015,19.72
Turkey,2016,20.23
Turkey,2017,20.26
Turkey,2018,22.83
Turkey,2019,32.12
Turkey,2020,18.96
