country,quarter,precipitation
Belgium,2017-Q1,90.7
Belgium,2017-Q2,77.1
Belgium,2017-Q3,79.7
Belgium,2017-Q4,86.3
Belgium,2018-Q1,87
Belgium,2018-Q2,83.3
Belgium,2018-Q3,77.2
Belgium,2018-Q4,95.7
Belgium,2019-Q1,81.2
Belgium,2019-Q2,83.1
Belgium,2019-Q3,80.3
Belgium,2019-Q4,99.6
Belgium,2020-Q1,84.3
Belgium,2020-Q2,88.3
Belgium,2020-Q3,80
Belgium,2020-Q4,93.4
Belgium,2021-Q1,80
Belgium,2021-Q2,88.5
Belgium,2021-Q3,93.2
Belgium,2021-Q4,92.2
Belgium,2022-Q1,89.9
Belgium,2022-Q2,87.2
Belgium,2022-Q3,88.1
Belgium,2022-Q4,98
Belgium,2023-Q1,83
Belgium,2023-Q2,75.7
Belgium,2023-Q3,94.5
Belgium,2023-Q4,105.7
Belgium,2024-Q1,90.3
Belgium,2024-Q2,80.1
Belgium,2024-Q3,85.3
Belgium,2024-Q4,102.8
Belgium,2025-Q1,95.4
Bulgaria,2017-Q1,43.9
Bulgaria,2017-Q2,60
Bulgaria,2017-Q3,41.9
Bulgaria,2017-Q4,66.3
Bulgaria,2018-Q1,42.1
Bulgaria,2018-Q2,51.5
Bulgaria,2018-Q3,36.6
Bulgaria,2018-Q4,70.1
Bulgaria,2019-Q1,46.4
Bulgaria,2019-Q2,57.9
Bulgaria,2019-Q3,36.5
Bulgaria,2019-Q4,71.8
Bulgaria,2020-Q1,48.7
Bulgaria,2020-Q2,52.6
Bulgaria,2020-Q3,38
Bulgaria,2020-Q4,61.8
Bulgaria,2021-Q1,44.1
Bulgaria,2021-Q2,56.4
Bulgaria,2021-Q3,40.2
Bulgaria,2021-Q4,63.5
Bulgaria,2022-Q1,47.2
Bulgaria,2022-Q2,52.3
Bulgaria,2022-Q3,39.3
Bulgaria,2022-Q4,64.8
Bulgaria,2023-Q1,45.9
Bulgaria,2023-Q2,59.9
Bulgaria,2023-Q3,38.7
Bulgaria,2023-Q4,67.1
Bulgaria,2024-Q1,47.4
Bulgaria,2024-Q2,51.8
Bulgaria,2024-Q3,42.3
Bulgaria,2024-Q4,62.8
Bulgaria,2025-Q1,42.7
Estonia,2017-Q1,37.1
Estonia,2017-Q2,74.2
Estonia,2017-Q3,73.2
Estonia,2017-Q4,54.9
Estonia,2018-Q1,42.4
Estonia,2018-Q2,66.1
Estonia,2018-Q3,72.4
Estonia,2018-Q4,53.4
Estonia,2019-Q1,42.1
Estonia,2019-Q2,73.9
Estonia,2019-Q3,85.2
Estonia,2019-Q4,46.2
Estonia,2020-Q1,39.5
Estonia,2020-Q2,65.6
Estonia,2020-Q3,87.1
Estonia,2020-Q4,52
Estonia,2021-Q1,39.4
Estonia,2021-Q2,65.2
Estonia,2021-Q3,78.5
Estonia,2021-Q4,49.2
Estonia,2022-Q1,42.9
Estonia,2022-Q2,73.7
Estonia,2022-Q3,88.4
Estonia,2022-Q4,51
Estonia,2023-Q1,38.1
Estonia,2023-Q2,75.2
Estonia,2023-Q3,86.7
Estonia,2023-Q4,52.1
Estonia,2024-Q1,43.6
Estonia,2024-Q2,72.4
Estonia,2024-Q3,83.2
Estonia,2024-Q4,51
Estonia,2025-Q1,37.7
France,2017-Q1,80.7
France,2017-Q2,68.1
France,2017-Q3,62.4
France,2017-Q4,88.4
France,2018-Q1,73.3
France,2018-Q2,62.6
France,2018-Q3,64
France,2018-Q4,90.7
France,2019-Q1,81.3
France,2019-Q2,71.1
France,2019-Q3,60.7
France,2019-Q4,85.9
France,2020-Q1,80.7
France,2020-Q2,68
France,2020-Q3,63.4
France,2020-Q4,91.4
France,2021-Q1,82.5
France,2021-Q2,64.2
France,2021-Q3,59.7
France,2021-Q4,79.7
France,2022-Q1,78.1
France,2022-Q2,60.4
France,2022-Q3,61.1
France,2022-Q4,87.9
France,2023-Q1,74
France,2023-Q2,68.2
France,2023-Q3,56
France,2023-Q4,79.4
France,2024-Q1,82.6
France,2024-Q2,65.4
France,2024-Q3,57.5
France,2024-Q4,88.4
France,2025-Q1,82.2
Germany,2017-Q1,87.2
Germany,2017-Q2,82
Germany,2017-Q3,90.2
Germany,2017-Q4,86.5
Germany,2018-Q1,73.9
Germany,2018-Q2,78.2
Germany,2018-Q3,84.4
Germany,2018-Q4,83.6
Germany,2019-Q1,80.7
Germany,2019-Q2,68.7
Germany,2019-Q3,92.9
Germany,2019-Q4,86.5
Germany,2020-Q1,83.8
Germany,2020-Q2,73.3
Germany,2020-Q3,86.6
Germany,2020-Q4,92.2
Germany,2021-Q1,76.5
Germany,2021-Q2,83.7
Germany,2021-Q3,91.5
Germany,2021-Q4,99.9
Germany,2022-Q1,88.5
Germany,2022-Q2,78.4
Germany,2022-Q3,94.5
Germany,2022-Q4,84.7
Germany,2023-Q1,77.4
Germany,2023-Q2,70.2
Germany,2023-Q3,84.5
Germany,2023-Q4,90.6
Germany,2024-Q1,79
Germany,2024-Q2,82.7
Germany,2024-Q3,85.5
Germany,2024-Q4,89.1
Germany,2025-Q1,83.9
Hungary,2017-Q1,41.5
Hungary,2017-Q2,58.9
Hungary,2017-Q3,77
Hungary,2017-Q4,53
Hungary,2018-Q1,45.3
Hungary,2018-Q2,70.6
Hungary,2018-Q3,71.6
Hungary,2018-Q4,54.3
Hungary,2019-Q1,47.8
Hungary,2019-Q2,62.1
Hungary,2019-Q3,69.3
Hungary,2019-Q4,53.2
Hungary,2020-Q1,42.6
Hungary,2020-Q2,71.6
Hungary,2020-Q3,80.8
Hungary,2020-Q4,57.3
Hungary,2021-Q1,49.3
Hungary,2021-Q2,70.3
Hungary,2021-Q3,71.7
Hungary,2021-Q4,60.5
Hungary,2022-Q1,46.5
Hungary,2022-Q2,70.7
Hungary,2022-Q3,83
Hungary,2022-Q4,54.3
Hungary,2023-Q1,42.7
Hungary,2023-Q2,63.3
Hungary,2023-Q3,76.1
Hungary,2023-Q4,60.3
Hungary,2024-Q1,49.9
Hungary,2024-Q2,60.6
Hungary,2024-Q3,77.8
Hungary,2024-Q4,56
Hungary,2025-Q1,44.2
Ireland,2017-Q1,129.3
Ireland,2017-Q2,105.6
Ireland,2017-Q3,113.1
Ireland,2017-Q4,119.2
Ireland,2018-Q1,112.4
Ireland,2018-Q2,108.5
Ireland,2018-Q3,112.9
Ireland,2018-Q4,117.8
Ireland,2019-Q1,111.5
Ireland,2019-Q2,104.3
Ireland,2019-Q3,100.1
Ireland,2019-Q4,122.4
Ireland,2020-Q1,123
Ireland,2020-Q2,105.4
Ireland,2020-Q3,115
Ireland,2020-Q4,124.7
Ireland,2021-Q1,127.6
Ireland,2021-Q2,96.6
Ireland,2021-Q3,108.3
Ireland,2021-Q4,139.1
Ireland,2022-Q1,126.7
Ireland,2022-Q2,109.7
Ireland,2022-Q3,116.3
Ireland,2022-Q4,135.1
Ireland,2023-Q1,113.6
Ireland,2023-Q2,100.3
Ireland,2023-Q3,108
Ireland,2023-Q4,127
Ireland,2024-Q1,135.9
Ireland,2024-Q2,101.3
Ireland,2024-Q3,122.8
Ireland,2024-Q4,138.1
Ireland,2025-Q1,132.2
Italy,2017-Q1,66
Italy,2017-Q2,51.2
