country,year,percentage
Austria,2015,0
Austria,2016,0
Austria,2017,0
Austria,2018,0
Austria,2019,0
Austria,2020,0
Bulgaria,2015,100
Bulgaria,2016,100
Bulgaria,2017,100
Bulgaria,2018,99.92
Bulgaria,2019,85.73
Bulgaria,2020,83.77
Cyprus,2015,0
Cyprus,2016,0
Cyprus,2017,0
Cyprus,2018,0
Cyprus,2019,0
Cyprus,2020,0
Czechia,2015,99.81
Czechia,2016,99.97
Czechia,2017,99.19
Czechia,2018,99.5
Czechia,2019,99.73
Czechia,2020,100
Denmark,2015,0
Denmark,2016,0
Denmark,2017,0
Denmark,2018,0
Denmark,2019,0
Denmark,2020,62.32
Estonia,2015,100
Estonia,2016,100
Estonia,2017,99.84
Estonia,2018,99.9
Estonia,2019,99.45
Estonia,2020,99
Germany,2015,45.32
Germany,2016,60.25
Germany,2017,54.34
Germany,2018,51.22
Germany,2019,51.22
Germany,2020,68.66
Hungary,2015,95
Hungary,2016,95
Hungary,2017,95
Hungary,2018,95
Hungary,2019,95
Hungary,2020,95
Latvia,2015,100
Latvia,2016,100
Latvia,2017,100
Latvia,2018,100
Latvia,2019,100
Latvia,2020,100
Lithuania,2015,82.6
Lithuania,2016,38.29
Lithuania,2017,53.64
Lithuania,2018,56.77
Lithuania,2019,43.27
Lithuania,2020,41.79
Luxembourg,2015,25.2
Luxembourg,2016,25.22
Luxembourg,2017,27.23
Luxembourg,2018,27.23
Luxembourg,2019,27.23
Luxembourg,2020,27.23
Malta,2015,0
Malta,2016,0
Malta,2017,0.32
Malta,2018,0
Malta,2019,0
Malta,2020,0
Netherlands,2015,0
Netherlands,2016,0
Netherlands,2017,0
Netherlands,2018,35.41
Netherlands,2019,33.95
Netherlands,2020,33.18
Norway,2015,0
Norway,2016,0
Norway,2017,0
Norway,2018,0
Norway,2019,0
Norway,2020,0
Poland,2015,83.09
Poland,2016,84.33
Poland,2017,77.78
Poland,2018,72.61
Poland,2019,68.25
Poland,2020,69.56
Romania,2015,97.68
Romania,2016,99.77
Romania,2017,99.97
Romania,2018,98.03
Romania,2019,91.72
Romania,2020,90.96
Slovenia,2015,31.22
Slovenia,2016,34
Slovenia,2017,23
Slovenia,2018,31.25
Slovenia,2019,11.87
Slovenia,2020,8.82
Sweden,2015,0
Sweden,2016,0
Sweden,2017,1.63
Sweden,2018,3.23
Sweden,2019,3.79
Sweden,2020,27.65
Turkey,2015,55.33
Turkey,2016,53.01
Turkey,2017,51.94
Turkey,2018,47.1
Turkey,2019,33.65
Turkey,2020,33.68
