country,month,Gwh
Austria,2017/1/1,2143.494
Austria,2017/2/1,1482.854
Austria,2017/3/1,973.851
Austria,2017/4/1,586.118
Austria,2017/5/1,221.011
Austria,2017/6/1,454.228
Austria,2017/7/1,410.223
Austria,2017/8/1,399.677
Austria,2017/9/1,443.113
Austria,2017/10/1,780.529
Austria,2017/11/1,1132.994
Austria,2017/12/1,1047.676
Austria,2018/1/1,1176.722
Austria,2018/2/1,1298.299
Austria,2018/3/1,1015.486
Austria,2018/4/1,327.424
Austria,2018/5/1,213.2
Austria,2018/6/1,270.996
Austria,2018/7/1,314.482
Austria,2018/8/1,435.554
Austria,2018/9/1,586.031
Austria,2018/10/1,816.313
Austria,2018/11/1,1185.743
Austria,2018/12/1,1544.466
Austria,2019/1/1,1619.779
Austria,2019/2/1,1273.218
Austria,2019/3/1,705.563
Austria,2019/4/1,558.465
Austria,2019/5/1,149.026
Austria,2019/6/1,242.507
Austria,2019/7/1,514.22
Austria,2019/8/1,733.246
Austria,2019/9/1,977.324
Austria,2019/10/1,1245.15
Austria,2019/11/1,1232.264
Austria,2019/12/1,1253.639
Austria,2020/1/1,1776.441
Austria,2020/2/1,986.674
Austria,2020/3/1,949.137
Austria,2020/4/1,440.623
Austria,2020/5/1,167.967
Austria,2020/6/1,171.901
Austria,2020/7/1,451.254
Austria,2020/8/1,421.342
Austria,2020/9/1,409.118
Austria,2020/10/1,765.597
Austria,2020/11/1,1159.542
Austria,2020/12/1,1445.226
Austria,2021/1/1,1471.139
Austria,2021/2/1,1150.02
Austria,2021/3/1,1115.075
Austria,2021/4/1,848.019
Austria,2021/5/1,324.572
Austria,2021/6/1,186.08
Austria,2021/7/1,202.18
Austria,2021/8/1,171.058
Austria,2021/9/1,294.604
Austria,2021/10/1,937.685
Austria,2021/11/1,1628.205
Austria,2021/12/1,1544.569
Austria,2022/1/1,1595.354
Austria,2022/2/1,1286.039
Austria,2022/3/1,1467.064
Austria,2022/4/1,722.413
Austria,2022/5/1,529.971
Austria,2022/6/1,219.073
Austria,2022/7/1,239.917
Austria,2022/8/1,231.039
