country,time,price
Austria,2017-S1,0.195
Austria,2017-S2,0.1978
Austria,2018-S1,0.1966
Austria,2018-S2,0.2012
Austria,2019-S1,0.2034
Austria,2019-S2,0.2074
Austria,2020-S1,0.2111
Austria,2020-S2,0.2167
Austria,2021-S1,0.2216
Austria,2021-S2,0.2285
Austria,2022-S1,0.2249
Austria,2022-S2,0.237
Austria,2023-S1,0.2653
Austria,2023-S2,0.2748
Austria,2024-S1,0.2731
Austria,2024-S2,0.2437
Austria,2025-S1,0.2905
Bulgaria,2017-S1,0.0955
Bulgaria,2017-S2,0.0983
Bulgaria,2018-S1,0.0979
Bulgaria,2018-S2,0.1005
Bulgaria,2019-S1,0.0997
Bulgaria,2019-S2,0.0958
Bulgaria,2020-S1,0.0997
Bulgaria,2020-S2,0.0982
Bulgaria,2021-S1,0.1024
Bulgaria,2021-S2,0.1091
Bulgaria,2022-S1,0.1093
Bulgaria,2022-S2,0.1147
Bulgaria,2023-S1,0.1138
Bulgaria,2023-S2,0.1192
Bulgaria,2024-S1,0.1187
Bulgaria,2024-S2,0.1217
Bulgaria,2025-S1,0.13
Cyprus,2017-S1,0.1863
Cyprus,2017-S2,0.1826
Cyprus,2018-S1,0.1893
Cyprus,2018-S2,0.2183
Cyprus,2019-S1,0.2203
Cyprus,2019-S2,0.2236
Cyprus,2020-S1,0.2133
Cyprus,2020-S2,0.1698
Cyprus,2021-S1,0.1976
Cyprus,2021-S2,0.2304
Cyprus,2022-S1,0.2607
Cyprus,2022-S2,0.3261
Cyprus,2023-S1,0.3739
Cyprus,2023-S2,0.3452
Cyprus,2024-S1,0.3241
Cyprus,2024-S2,0.3251
Cyprus,2025-S1,0.2932
Czechia,2017-S1,0.1438
Czechia,2017-S2,0.1488
Czechia,2018-S1,0.1573
Czechia,2018-S2,0.1586
Czechia,2019-S1,0.1748
Czechia,2019-S2,0.177
Czechia,2020-S1,0.1841
Czechia,2020-S2,0.1795
Czechia,2021-S1,0.1802
Czechia,2021-S2,0.1883
Czechia,2022-S1,0.2445
Czechia,2022-S2,0.1721
Czechia,2023-S1,0.319
Czechia,2023-S2,0.3151
Czechia,2024-S1,0.3381
Czechia,2024-S2,0.3302
Czechia,2025-S1,0.3179
Denmark,2017-S1,0.3049
Denmark,2017-S2,0.301
Denmark,2018-S1,0.3126
Denmark,2018-S2,0.3123
Denmark,2019-S1,0.2984
Denmark,2019-S2,0.2924
Denmark,2020-S1,0.2833
Denmark,2020-S2,0.2819
Denmark,2021-S1,0.29
Denmark,2021-S2,0.3448
Denmark,2022-S1,0.4559
Denmark,2022-S2,0.5871
Denmark,2023-S1,0.3811
Denmark,2023-S2,0.3554
Denmark,2024-S1,0.3708
Denmark,2024-S2,0.3763
Denmark,2025-S1,0.3485
Estonia,2017-S1,0.1207
Estonia,2017-S2,0.1319
Estonia,2018-S1,0.1348
Estonia,2018-S2,0.1418
Estonia,2019-S1,0.1357
Estonia,2019-S2,0.1411
Estonia,2020-S1,0.1236
Estonia,2020-S2,0.1291
Estonia,2021-S1,0.1324
Estonia,2021-S2,0.1939
Estonia,2022-S1,0.2056
Estonia,2022-S2,0.265
Estonia,2023-S1,0.216
Estonia,2023-S2,0.2339
Estonia,2024-S1,0.23
Estonia,2024-S2,0.2214
Estonia,2025-S1,0.2298
Germany,2017-S1,0.3048
Germany,2017-S2,0.3048
Germany,2018-S1,0.2987
Germany,2018-S2,0.3
Germany,2019-S1,0.3088
Germany,2019-S2,0.2878
Germany,2020-S1,0.3043
Germany,2020-S2,0.3006
Germany,2021-S1,0.3193
Germany,2021-S2,0.3234
Germany,2022-S1,0.3279
Germany,2022-S2,0.3357
Germany,2023-S1,0.4125
Germany,2023-S2,0.402
Germany,2024-S1,0.3951
Germany,2024-S2,0.3943
Germany,2025-S1,0.3835
Hungary,2017-S1,0.1125
Hungary,2017-S2,0.1134
Hungary,2018-S1,0.1123
Hungary,2018-S2,0.1118
Hungary,2019-S1,0.112
Hungary,2019-S2,0.1097
Hungary,2020-S1,0.1031
Hungary,2020-S2,0.1009
Hungary,2021-S1,0.101
Hungary,2021-S2,0.1003
Hungary,2022-S1,0.0948
Hungary,2022-S2,0.1084
Hungary,2023-S1,0.1157
Hungary,2023-S2,0.1132
Hungary,2024-S1,0.1094
Hungary,2024-S2,0.1032
Hungary,2025-S1,0.104
Latvia,2017-S1,0.1586
Latvia,2017-S2,0.1582
Latvia,2018-S1,0.1531
Latvia,2018-S2,0.1511
Latvia,2019-S1,0.1629
Latvia,2019-S2,0.164
Latvia,2020-S1,0.142
Latvia,2020-S2,0.1432
Latvia,2021-S1,0.1403
Latvia,2021-S2,0.1886
Latvia,2022-S1,0.1759
Latvia,2022-S2,0.2992
Latvia,2023-S1,0.3054
Latvia,2023-S2,0.2774
Latvia,2024-S1,0.2546
Latvia,2024-S2,0.2279
Latvia,2025-S1,0.244
Lithuania,2017-S1,0.1116
Lithuania,2017-S2,0.1107
Lithuania,2018-S1,0.1097
Lithuania,2018-S2,0.1097
Lithuania,2019-S1,0.1255
Lithuania,2019-S2,0.1254
Lithuania,2020-S1,0.1426
Lithuania,2020-S2,0.1321
Lithuania,2021-S1,0.1348
Lithuania,2021-S2,0.1477
Lithuania,2022-S1,0.1497
Lithuania,2022-S2,0.2429
Lithuania,2023-S1,0.282
Lithuania,2023-S2,0.2223
Lithuania,2024-S1,0.2315
Lithuania,2024-S2,0.2144
Lithuania,2025-S1,0.2109
Luxembourg,2017-S1,0.1615
Luxembourg,2017-S2,0.1618
Luxembourg,2018-S1,0.1671
Luxembourg,2018-S2,0.1691
Luxembourg,2019-S1,0.1798
Luxembourg,2019-S2,0.1799
Luxembourg,2020-S1,0.1986
Luxembourg,2020-S2,0.1985
Luxembourg,2021-S1,0.1988
Luxembourg,2021-S2,0.1989
Luxembourg,2022-S1,0.2017
Luxembourg,2022-S2,0.2042
Luxembourg,2023-S1,0.2008
Luxembourg,2023-S2,0.2015
Luxembourg,2024-S1,0.2029
Luxembourg,2024-S2,0.2024
Luxembourg,2025-S1,0.2665
Malta,2017-S1,0.1328
Malta,2017-S2,0.1298
Malta,2018-S1,0.1285
Malta,2018-S2,0.1307
Malta,2019-S1,0.129
Malta,2019-S2,0.1304
Malta,2020-S1,0.1284
Malta,2020-S2,0.1301
Malta,2021-S1,0.1285
Malta,2021-S2,0.1318
Malta,2022-S1,0.1298
Malta,2022-S2,0.1284
Malta,2023-S1,0.1261
Malta,2023-S2,0.1279
Malta,2024-S1,0.1272
Malta,2024-S2,0.1303
Malta,2025-S1,0.1244
Netherlands,2017-S1,0.16
Netherlands,2017-S2,0.159
Netherlands,2018-S1,0.18
Netherlands,2018-S2,0.18
Netherlands,2019-S1,0.207
Netherlands,2019-S2,0.206
Netherlands,2020-S1,0.1437
Netherlands,2020-S2,0.1356
Netherlands,2021-S1,0.1289
Netherlands,2021-S2,0.1441
Netherlands,2022-S1,0.0338
Netherlands,2022-S2,0.1419
Netherlands,2023-S1,0.3574
Netherlands,2023-S2,0.2488
Netherlands,2024-S1,0.2525
Netherlands,2024-S2,0.2144
Netherlands,2025-S1,0.2342
Norway,2017-S1,0.1642
Norway,2017-S2,0.1605
Norway,2018-S1,0.1751
Norway,2018-S2,0.1907
Norway,2019-S1,0.1867
Norway,2019-S2,0.1744
Norway,2020-S1,0.1355
Norway,2020-S2,0.1322
Norway,2021-S1,0.1826
Norway,2021-S2,0.2206
Norway,2022-S1,0.1994
Norway,2022-S2,0.2302
Norway,2023-S1,0.1919
Norway,2023-S2,0.1866
Norway,2024-S1,0.1993
Norway,2024-S2,0.1902
Norway,2025-S1,0.1986
Poland,2017-S1,0.1446
Poland,2017-S2,0.1451
Poland,2018-S1,0.141
Poland,2018-S2,0.1396
Poland,2019-S1,0.1343
Poland,2019-S2,0.1376
Poland,2020-S1,0.1475
Poland,2020-S2,0.151
Poland,2021-S1,0.1548
Poland,2021-S2,0.1574
Poland,2022-S1,0.1464
Poland,2022-S2,0.1604
Poland,2023-S1,0.1769
Poland,2023-S2,0.2162
Poland,2024-S1,0.209
Poland,2024-S2,0.2477
Poland,2025-S1,0.2559
Romania,2017-S1,0.1198
Romania,2017-S2,0.1289
Romania,2018-S1,0.1333
Romania,2018-S2,0.1317
Romania,2019-S1,0.1358
Romania,2019-S2,0.1421
Romania,2020-S1,0.1459
Romania,2020-S2,0.1449
Romania,2021-S1,0.1536
Romania,2021-S2,0.1602
Romania,2022-S1,0.2362
Romania,2022-S2,0.3411
Romania,2023-S1,0.1892
Romania,2023-S2,0.191
Romania,2024-S1,0.1883
Romania,2024-S2,0.1863
Romania,2025-S1,0.1918
Slovenia,2017-S1,0.1609
Slovenia,2017-S2,0.1613
Slovenia,2018-S1,0.1613
Slovenia,2018-S2,0.1638
Slovenia,2019-S1,0.1634
Slovenia,2019-S2,0.1666
Slovenia,2020-S1,0.1448
Slovenia,2020-S2,0.1694
Slovenia,2021-S1,0.1662
Slovenia,2021-S2,0.1711
Slovenia,2022-S1,0.139
Slovenia,2022-S2,0.1956
Slovenia,2023-S1,0.1917
Slovenia,2023-S2,0.2113
Slovenia,2024-S1,0.2084
Slovenia,2024-S2,0.2006
Slovenia,2025-S1,0.181
Sweden,2017-S1,0.1955
Sweden,2017-S2,0.2013
Sweden,2018-S1,0.191
Sweden,2018-S2,0.2049
Sweden,2019-S1,0.2033
Sweden,2019-S2,0.2052
Sweden,2020-S1,0.1914
Sweden,2020-S2,0.2017
Sweden,2021-S1,0.2114
Sweden,2021-S2,0.2604
Sweden,2022-S1,0.2278
Sweden,2022-S2,0.274
Sweden,2023-S1,0.2662
Sweden,2023-S2,0.2181
Sweden,2024-S1,0.2434
Sweden,2024-S2,0.2351
Sweden,2025-S1,0.2654
Turkey,2017-S1,0.1048
Turkey,2017-S2,0.0959
Turkey,2018-S1,0.0904
Turkey,2018-S2,0.0857
Turkey,2019-S1,0.0847
Turkey,2019-S2,0.1043
Turkey,2020-S1,0.0995
Turkey,2020-S2,0.0822
Turkey,2021-S1,0.0834
Turkey,2021-S2,0.0788
Turkey,2022-S1,0.0866
Turkey,2022-S2,0.0932
Turkey,2023-S1,0.0842
Turkey,2023-S2,0.0562
Turkey,2024-S1,0.0488
Turkey,2024-S2,0.062
Turkey,2025-S1,0.0617
