country,quarter,precipitation
Austria,2017Q1,50.2
Austria,2017Q2,45.8
Austria,2017Q3,43.5
Austria,2017Q4,56.9
Austria,2018Q1,52.8
Austria,2018Q2,43.5
Austria,2018Q3,41.8
Austria,2018Q4,59.5
Austria,2019Q1,51.5
Austria,2019Q2,44.7
Austria,2019Q3,42.6
Austria,2019Q4,58.2
Austria,2020Q1,53.9
Austria,2020Q2,43.2
Austria,2020Q3,44.8
Austria,2020Q4,60.9
Austria,2021Q1,52.3
Austria,2021Q2,44.5
Austria,2021Q3,43.1
Austria,2021Q4,59.5
Austria,2022Q1,55.2
Austria,2022Q2,42.1
Austria,2022Q3,45.9
Austria,2022Q4,62.2
Austria,2023Q1,53
Austria,2023Q2,44.2
Austria,2023Q3,43.8
Austria,2023Q4,59.9
Austria,2024Q1,54.9
Austria,2024Q2,42.5
Austria,2024Q3,45.6
Austria,2024Q4,61.9
Austria,2025Q1,54.2
Austria,2025Q2,43.1
Austria,2025Q3,46.2
Austria,2025Q4,60.9
Bulgaria,2017Q1,68.5
Bulgaria,2017Q2,32.2
Bulgaria,2017Q3,18.6
Bulgaria,2017Q4,75.3
Bulgaria,2018Q1,72.1
Bulgaria,2018Q2,29.8
Bulgaria,2018Q3,20.3
Bulgaria,2018Q4,78.6
Bulgaria,2019Q1,69.4
Bulgaria,2019Q2,31.5
Bulgaria,2019Q3,19.2
Bulgaria,2019Q4,76.8
Bulgaria,2020Q1,71.2
Bulgaria,2020Q2,30.5
Bulgaria,2020Q3,21.1
Bulgaria,2020Q4,79.5
Bulgaria,2021Q1,68.8
Bulgaria,2021Q2,32.1
Bulgaria,2021Q3,19.8
Bulgaria,2021Q4,77.2
Bulgaria,2022Q1,73.5
Bulgaria,2022Q2,28.9
Bulgaria,2022Q3,22.3
Bulgaria,2022Q4,81.2
Bulgaria,2023Q1,70.8
Bulgaria,2023Q2,31.2
Bulgaria,2023Q3,20.5
Bulgaria,2023Q4,78.9
Bulgaria,2024Q1,72.5
Bulgaria,2024Q2,29.5
Bulgaria,2024Q3,21.8
Bulgaria,2024Q4,80.5
Bulgaria,2025Q1,74.2
Bulgaria,2025Q2,30.1
Bulgaria,2025Q3,22.5
Bulgaria,2025Q4,82.1
Cyprus,2017Q1,92.6
Cyprus,2017Q2,25.3
Cyprus,2017Q3,8.5
Cyprus,2017Q4,98.9
Cyprus,2018Q1,95.2
Cyprus,2018Q2,23.8
Cyprus,2018Q3,9.2
Cyprus,2018Q4,101.5
Cyprus,2019Q1,93.9
Cyprus,2019Q2,24.5
Cyprus,2019Q3,8.8
Cyprus,2019Q4,100.2
Cyprus,2020Q1,96.3
Cyprus,2020Q2,22.9
Cyprus,2020Q3,9.8
Cyprus,2020Q4,102.8
Cyprus,2021Q1,94.7
Cyprus,2021Q2,24.2
Cyprus,2021Q3,9.1
Cyprus,2021Q4,101.4
Cyprus,2022Q1,97.5
Cyprus,2022Q2,21.8
Cyprus,2022Q3,10.5
Cyprus,2022Q4,104.5
Cyprus,2023Q1,95.1
Cyprus,2023Q2,23.5
Cyprus,2023Q3,9.5
